LOCATION,TIME,Value
AUS,1960,25071.833
AUS,1961,25363.455
AUS,1962,27953.904
AUS,1963,30431.547
AUS,1964,32742.466
AUS,1965,34538.087
AUS,1966,38340.322
AUS,1967,41063.061
AUS,1968,46555.241
AUS,1969,52208.329
AUS,1970,58911.123
AUS,1971,64192.384
AUS,1972,69871.924
AUS,1973,78914.75
AUS,1974,86394.431
AUS,1975,96933.513
AUS,1976,104370.768
AUS,1977,110361.996
AUS,1978,123440.344
AUS,1979,138091.009
AUS,1980,155157.89
AUS,1981,178430.317
AUS,1982,182041.004
AUS,1983,196746.258
AUS,1984,212020.678
AUS,1985,229153.081
AUS,1986,240014.679
AUS,1987,261085.322
AUS,1988,283190.956
AUS,1989,299886.891
AUS,1990,304408.929
AUS,1991,314181.011
AUS,1992,334849.617
AUS,1993,355957.486
AUS,1994,381621.283
AUS,1995,404071.671
AUS,1996,424444.69
AUS,1997,450947.394
AUS,1998,478369.09
AUS,1999,510551.679
AUS,2000,538759.74
AUS,2001,569498.285
AUS,2002,600598.648
AUS,2003,638782.783
AUS,2004,677715.264
AUS,2005,719487.043
AUS,2006,775886.237
AUS,2007,826594.305
AUS,2008,852737.657
AUS,2009,903956.56
AUS,2010,943323.0
AUS,2011,992802.546
AUS,2012,997651.363
AUS,2013,1104672.434
AUS,2014,1117601.897
AUS,2015,1124752.51
AUS,2016,1212854.276
AUS,2017,1247085.553
AUS,2018,1323863.624
AUS,2019,1337588.806
AUS,2020,1430866.404
AUS,2021,1595112.956
AUT,1970,28594.177
AUT,1971,31579.835
AUT,1972,34990.129
AUT,1973,38711.33
AUT,1974,43858.904
AUT,1975,47747.762
AUT,1976,52681.195
AUT,1977,58796.949
AUT,1978,62800.056
AUT,1979,71653.406
AUT,1980,79478.652
AUT,1981,86873.502
AUT,1982,94095.976
AUT,1983,100688.645
AUT,1984,104374.685
AUT,1985,110365.942
AUT,1986,115179.71
AUT,1987,119629.722
AUT,1988,127931.5
AUT,1989,138114.602
AUT,1990,149511.327
AUT,1991,159887.079
AUT,1992,166954.321
AUT,1993,171812.082
AUT,1994,179696.263
AUT,1995,188359.111
AUT,1996,195478.33
AUT,1997,202600.685
AUT,1998,212786.029
AUT,1999,220639.939
AUT,2000,235393.211
AUT,2001,238924.377
AUT,2002,251984.784
AUT,2003,261070.253
AUT,2004,276000.045
AUT,2005,288086.722
AUT,2006,311394.8
AUT,2007,327137.69
AUT,2008,343812.976
AUT,2009,341396.516
AUT,2010,351323.808
AUT,2011,373031.477
AUT,2012,391635.176
AUT,2013,406370.245
AUT,2014,417059.519
AUT,2015,430975.924
AUT,2016,460282.647
AUT,2017,476590.588
AUT,2018,503361.417
AUT,2019,530169.037
AUT,2020,510568.008
AUT,2021,537014.574
AUT,2022,622665.496
BEL,1970,37310.383
BEL,1971,40672.958
BEL,1972,44661.179
BEL,1973,49992.7
BEL,1974,56779.829
BEL,1975,61215.864
BEL,1976,68235.627
BEL,1977,72929.153
BEL,1978,80277.228
BEL,1979,88972.734
BEL,1980,101355.26
BEL,1981,110635.789
BEL,1982,118170.101
BEL,1983,123181.509
BEL,1984,130773.268
BEL,1985,137137.32
BEL,1986,142449.159
BEL,1987,149338.723
BEL,1988,161908.919
BEL,1989,174093.405
BEL,1990,186276.766
BEL,1991,196106.266
BEL,1992,203645.471
BEL,1993,206467.318
BEL,1994,217681.188
BEL,1995,227545.765
BEL,1996,231009.739
BEL,1997,241623.533
BEL,1998,248642.021
BEL,1999,260168.781
BEL,2000,284881.505
BEL,2001,296187.433
BEL,2002,312900.475
BEL,2003,320979.727
BEL,2004,334135.685
BEL,2005,347658.439
BEL,2006,371888.473
BEL,2007,390981.666
BEL,2008,405729.43
BEL,2009,407566.641
BEL,2010,434058.868
BEL,2011,451932.625
BEL,2012,469720.336
BEL,2013,487343.796
BEL,2014,503619.623
BEL,2015,520877.807
BEL,2016,550677.566
BEL,2017,573788.528
BEL,2018,600269.926
BEL,2019,641098.699
BEL,2020,629659.269
BEL,2021,681853.013
BEL,2022,773801.715
CAN,1961,44299.933
CAN,1962,48574.474
CAN,1963,51906.612
CAN,1964,56381.698
CAN,1965,61782.956
CAN,1966,68222.013
CAN,1967,72368.942
CAN,1968,80018.55
CAN,1969,88693.465
CAN,1970,99264.297
CAN,1971,108487.491
CAN,1972,119424.079
CAN,1973,134444.357
CAN,1974,151463.161
CAN,1975,168050.057
CAN,1976,187740.084
CAN,1977,206453.435
CAN,1978,229230.414
CAN,1979,257496.378
CAN,1980,286868.679
CAN,1981,324813.802
CAN,1982,333889.388
CAN,1983,355992.913
CAN,1984,390628.604
CAN,1985,422072.898
CAN,1986,439808.702
CAN,1987,469040.522
CAN,1988,507000.423
CAN,1989,539084.222
CAN,1990,560184.877
CAN,1991,567047.864
CAN,1992,585191.62
CAN,1993,615002.847
CAN,1994,656367.112
CAN,1995,688183.628
CAN,1996,712130.958
CAN,1997,755416.033
CAN,1998,793682.05
CAN,1999,846421.343
CAN,2000,901003.29
CAN,2001,937793.044
CAN,2002,971009.088
CAN,2003,1023686.549
CAN,2004,1083615.23
CAN,2005,1171340.162
CAN,2006,1241618.911
CAN,2007,1301593.852
CAN,2008,1342396.613
CAN,2009,1307000.658
CAN,2010,1363578.975
CAN,2011,1430807.125
CAN,2012,1468094.965
CAN,2013,1554122.745
CAN,2014,1621396.709
CAN,2015,1594850.842
CAN,2016,1678093.396
CAN,2017,1765763.154
CAN,2018,1852987.755
CAN,2019,1873760.081
CAN,2020,1794940.001
CAN,2021,2026899.115
CAN,2022,2221280.61
CZE,1990,131494.049
CZE,1991,120151.413
CZE,1992,122267.069
CZE,1993,125242.696
CZE,1994,131638.664
CZE,1995,143136.024
CZE,1996,151528.229
CZE,1997,152754.882
CZE,1998,154189.841
CZE,1999,158333.514
CZE,2000,166527.993
CZE,2001,180061.911
CZE,2002,186119.946
CZE,2003,199181.111
CZE,2004,213447.732
CZE,2005,225620.781
CZE,2006,244936.694
CZE,2007,270711.922
CZE,2008,290503.947
