LOCATION,TIME,Value
AUS,1970,30476.5102571076
AUS,1971,32799.8440165411
AUS,1972,35590.1835647659
AUS,1973,41114.4566235354
AUS,1974,48461.8518724997
AUS,1975,52423.9613999894
AUS,1976,56900.9851313886
AUS,1977,61232.6799417557
AUS,1978,66856.7770247782
AUS,1979,74341.2277685107
AUS,1980,84610.8201737215
AUS,1981,97471.7261185984
AUS,1982,105755.748305925
AUS,1983,109590.118116318
AUS,1984,113898.977822034
AUS,1985,124529.775229599
AUS,1986,130248.949812747
AUS,1987,137662.806790215
AUS,1988,149366.901166335
AUS,1989,162749.855492224
AUS,1990,169853.76564642
AUS,1991,177805.033538701
AUS,1992,185891.95380911
AUS,1993,194157.359581188
AUS,1994,207909.459783654
AUS,1995,219388.82541227
AUS,1996,229298.957507831
AUS,1997,245206.343554388
AUS,1998,259904.750782677
AUS,1999,276904.420279827
AUS,2000,296144.255306775
AUS,2001,308322.302540843
AUS,2002,325842.256252559
AUS,2003,340377.571222691
AUS,2004,365384.965378243
AUS,2005,382676.631346896
AUS,2006,407588.979330053
AUS,2007,438388.987210112
AUS,2008,444942.230314535
AUS,2009,465988.600277404
AUS,2010,491893.346534284
AUS,2011,526988.163578016
AUS,2012,543065.524426951
AUS,2013,577621.55310936
AUS,2014,595208.682962021
AUS,2015,611257.658170229
AUS,2016,637321.742774304
AUS,2017,650660.331483639
AUS,2018,673616.626363316
AUS,2019,651798.401538175
AUS,2020,669373.015872199
AUS,2021,721316.817302946
AUT,1970,14480.3556783721
AUT,1971,16109.4714808326
AUT,1972,17672.0631568244
AUT,1973,19624.0311161549
AUT,1974,22315.2577086189
AUT,1975,24960.4786767006
AUT,1976,27526.2341397432
AUT,1977,31201.676995447
AUT,1978,32803.5029394457
AUT,1979,37413.3091507752
AUT,1980,42486.5544589381
AUT,1981,46883.1592178409
AUT,1982,50439.0157502421
AUT,1983,55442.1378592209
AUT,1984,56311.9371564648
AUT,1985,59331.7422700589
AUT,1986,61952.0448488131
AUT,1987,65406.1170411323
AUT,1988,69598.601121927
AUT,1989,75244.2089642934
AUT,1990,81874.1172244703
AUT,1991,87145.5882510616
AUT,1992,92581.4842271878
AUT,1993,94988.0449482377
AUT,1994,98951.2581931439
AUT,1995,101895.911449628
AUT,1996,107059.76507996
AUT,1997,109367.163256742
AUT,1998,114393.717836915
AUT,1999,117824.550921006
AUT,2000,126631.896393989
AUT,2001,128934.779074282
AUT,2002,133123.6969383
AUT,2003,139411.350346679
AUT,2004,146063.922160168
AUT,2005,154029.882967281
AUT,2006,162335.348080522
AUT,2007,168215.798723615
AUT,2008,174583.583309088
AUT,2009,178341.241118696
AUT,2010,184797.910584391
AUT,2011,194567.048510333
AUT,2012,199057.684931164
AUT,2013,205604.388327587
AUT,2014,210370.528936849
AUT,2015,213261.769245235
AUT,2016,224616.247193907
AUT,2017,231585.925691891
AUT,2018,241762.643747646
AUT,2019,250651.747661318
AUT,2020,235682.174841826
AUT,2021,249626.463432142
BEL,1970,17870.4906640246
BEL,1971,19545.8859100497
BEL,1972,21409.2999771168
BEL,1973,24400.867225163
BEL,1974,27696.6227241681
BEL,1975,30262.1482493859
BEL,1976,33545.1504064834
BEL,1977,36667.1349942957
BEL,1978,40197.4479507117
BEL,1979,46014.6908151738
BEL,1980,50555.605187761
BEL,1981,55314.8861381624
BEL,1982,59811.1839580763
BEL,1983,62261.7411275992
BEL,1984,64851.6805468575
BEL,1985,68931.8331406434
BEL,1986,72346.5370099989
BEL,1987,75871.1682180956
BEL,1988,81451.9769695639
BEL,1989,87820.7013320526
BEL,1990,94586.6965677784
BEL,1991,100701.405778065
BEL,1992,105358.547061078
BEL,1993,107498.725072328
BEL,1994,112370.126650346
BEL,1995,116544.360986583
BEL,1996,120033.782825739
BEL,1997,123455.455831882
BEL,1998,126597.610381093
BEL,1999,130953.821839877
BEL,2000,145011.102424524
BEL,2001,149756.916144731
BEL,2002,154595.415438556
BEL,2003,155343.027410192
BEL,2004,161816.749606157
BEL,2005,168463.132583311
BEL,2006,176459.002712776
BEL,2007,184296.092571383
BEL,2008,194581.594589707
BEL,2009,197019.527976508
BEL,2010,208904.065646814
BEL,2011,220029.938669796
BEL,2012,227142.109252114
BEL,2013,236572.936466063
BEL,2014,242820.828952902
BEL,2015,247220.120938205
BEL,2016,258303.999159179
BEL,2017,267251.809930942
BEL,2018,281506.127952642
BEL,2019,296381.036819848
BEL,2020,276223.455008936
BEL,2021,296767.045455136
CAN,1970,50424.7989499984
CAN,1971,55600.4013126028
CAN,1972,61441.0616286602
CAN,1973,69108.3472940573
CAN,1974,80115.4847420417
CAN,1975,90108.421545297
CAN,1976,99925.5509528
CAN,1977,109382.826249893
CAN,1978,120484.005155217
CAN,1979,134190.697560765
CAN,1980,151179.167266741
CAN,1981,166694.840009359
CAN,1982,171441.165660722
CAN,1983,183195.754930612
CAN,1984,197412.000875839
CAN,1985,214310.180936306
CAN,1986,226466.740392412
CAN,1987,242496.143344272
CAN,1988,262364.757605734
CAN,1989,283161.507609277
CAN,1990,299646.311513836
CAN,1991,306215.049749978
CAN,1992,319227.996610176
CAN,1993,333258.488403064
CAN,1994,350047.706518008
CAN,1995,365439.398507176
CAN,1996,384337.104068328
CAN,1997,410142.816179805
CAN,1998,424721.951675095
CAN,1999,447870.18896543
CAN,2000,474922.804799333
CAN,2001,496094.988298039
CAN,2002,519495.273337598
CAN,2003,543755.480068231
CAN,2004,574310.431354598
CAN,2005,612701.648832915
CAN,2006,632991.918286656
CAN,2007,677883.833221379
CAN,2008,693187.076349211
CAN,2009,695027.155733998
CAN,2010,732843.023724582
CAN,2011,772039.729143443
CAN,2012,797099.329246715
CAN,2013,816927.583380066
CAN,2014,848851.881804076
CAN,2015,858520.398058886
CAN,2016,910727.610048363
CAN,2017,955798.708603899
CAN,2018,1005492.25755454
CAN,2019,1006631.75968554
CAN,2020,958567.815913383
CAN,2021,1029332.16462732
CZE,1990,57460.1294707473
CZE,1991,46657.2185250948
CZE,1992,52121.6114860467
CZE,1993,54084.3475748
CZE,1994,57521.9305813805
CZE,1995,61424.3953370747
CZE,1996,67366.2298562721
CZE,1997,70489.916123483
CZE,1998,71069.3862205924
CZE,1999,74498.5014616879
CZE,2000,77949.7674648616
CZE,2001,84550.9242686595
CZE,2002,85692.9503934237
CZE,2003,91706.6761688082
CZE,2004,96969.8407123398
CZE,2005,101796.227818523
CZE,2006,106445.947886748
CZE,2007,115413.713511119
CZE,2008,125304.266109597
CZE,2009,128963.387862506
