LOCATION,TIME,Value
AUS,1949,3.738101
AUS,1950,4.063153
AUS,1951,4.852566
AUS,1952,5.688414
AUS,1953,5.943812
AUS,1954,6.036685
AUS,1955,6.129557
AUS,1956,6.477827
AUS,1957,6.663571
AUS,1958,6.710007
AUS,1959,6.849315
AUS,1960,7.104713
AUS,1961,7.26724
AUS,1962,7.244021
AUS,1963,7.290457
AUS,1964,7.49942
AUS,1965,7.754818
AUS,1966,8.010216
AUS,1967,8.288832
AUS,1968,8.497794
AUS,1969,8.77641
AUS,1970,9.078245
AUS,1971,9.635477
AUS,1972,10.21593
AUS,1973,11.14465
AUS,1974,12.86278
AUS,1975,14.8131
AUS,1976,16.78663
AUS,1977,18.85303
AUS,1978,20.3622
AUS,1979,22.21964
AUS,1980,24.47179
AUS,1981,26.79359
AUS,1982,29.83515
AUS,1983,32.83028
AUS,1984,34.13049
AUS,1985,36.42907
AUS,1986,39.72603
AUS,1987,43.11586
AUS,1988,46.22707
AUS,1989,49.70977
AUS,1990,53.355
AUS,1991,55.04992
AUS,1992,55.60715
AUS,1993,56.58231
AUS,1994,57.69677
AUS,1995,60.36684
AUS,1996,61.94567
AUS,1997,62.08498
AUS,1998,62.61899
AUS,1999,63.54771
AUS,2000,66.38031
AUS,2001,69.30578
AUS,2002,71.37218
AUS,2003,73.32249
AUS,2004,75.04063
AUS,2005,77.0606
AUS,2006,79.80032
AUS,2007,81.65777
AUS,2008,85.21012
AUS,2009,86.71929
AUS,2010,89.25006
AUS,2011,92.19875
AUS,2012,93.82401
AUS,2013,96.12259
AUS,2014,98.51405
AUS,2015,100.0
AUS,2016,101.277
AUS,2017,103.2505
AUS,2018,105.2241
AUS,2019,106.919
AUS,2020,107.8245
AUS,2021,110.9125
AUS,2022,118.2261
AUT,1958,15.62764
AUT,1959,15.79564
AUT,1960,16.10299
AUT,1961,16.6734
AUT,1962,17.40399
AUT,1963,17.87542
AUT,1964,18.56694
AUT,1965,19.48246
AUT,1966,19.88279
AUT,1967,20.67307
AUT,1968,21.24465
AUT,1969,21.89907
AUT,1970,22.85668
AUT,1971,23.93192
AUT,1972,25.45283
AUT,1973,27.3697
AUT,1974,29.97578
AUT,1975,32.50732
AUT,1976,34.88643
AUT,1977,36.8033
AUT,1978,38.11877
AUT,1979,39.53198
AUT,1980,42.03369
AUT,1981,44.89326
AUT,1982,47.33367
AUT,1983,48.91422
AUT,1984,51.68433
AUT,1985,53.33281
AUT,1986,54.24237
AUT,1987,55.00282
AUT,1988,56.05652
AUT,1989,57.49625
AUT,1990,59.3717
AUT,1991,61.35319
AUT,1992,63.8201
AUT,1993,66.13792
AUT,1994,68.09123
AUT,1995,69.61877
AUT,1996,70.91436
AUT,1997,71.84048
AUT,1998,72.50319
AUT,1999,72.91573
AUT,2000,74.6255
AUT,2001,76.60308
AUT,2002,77.98987
AUT,2003,79.04707
AUT,2004,80.67638
AUT,2005,82.53125
AUT,2006,83.72098
AUT,2007,85.53651
AUT,2008,88.28732
AUT,2009,88.73433
AUT,2010,90.34355
AUT,2011,93.31277
AUT,2012,95.63223
AUT,2013,97.54502
AUT,2014,99.1114
AUT,2015,100.0
AUT,2016,100.8916
AUT,2017,102.9914
AUT,2018,105.0496
AUT,2019,106.6578
AUT,2020,108.1317
AUT,2021,111.1233
AUT,2022,120.6209
BEL,1955,13.16081
BEL,1956,13.5318
BEL,1957,13.96044
BEL,1958,14.14039
BEL,1959,14.31424
BEL,1960,14.35711
BEL,1961,14.49963
BEL,1962,14.70329
BEL,1963,15.01912
BEL,1964,15.64523
BEL,1965,16.28124
BEL,1966,16.96087
BEL,1967,17.42396
BEL,1968,17.89466
BEL,1969,18.56642
BEL,1970,19.29208
BEL,1971,20.13006
BEL,1972,21.22683
BEL,1973,22.70322
BEL,1974,25.5815
BEL,1975,28.84781
BEL,1976,31.4639
BEL,1977,33.69658
BEL,1978,35.20301
BEL,1979,36.77626
BEL,1980,39.22141
BEL,1981,42.21301
BEL,1982,45.89675
BEL,1983,49.41318
BEL,1984,52.54686
BEL,1985,55.10522
BEL,1986,55.81849
BEL,1987,56.68556
BEL,1988,57.34364
BEL,1989,59.12534
BEL,1990,61.16417
BEL,1991,63.13078
BEL,1992,64.66357
BEL,1993,66.44468
BEL,1994,68.02443
BEL,1995,69.023
BEL,1996,70.45663
BEL,1997,71.60378
BEL,1998,72.28348
BEL,1999,73.09367
BEL,2000,74.95354
BEL,2001,76.80434
BEL,2002,78.06794
BEL,2003,79.30841
BEL,2004,80.97173
BEL,2005,83.22391
BEL,2006,84.71461
BEL,2007,86.25901
BEL,2008,90.13156
BEL,2009,90.08366
BEL,2010,92.05586
BEL,2011,95.30735
BEL,2012,98.01376
BEL,2013,99.10474
BEL,2014,99.4417
BEL,2015,100.0
BEL,2016,101.9739
BEL,2017,104.1418
BEL,2018,106.28
BEL,2019,107.807
BEL,2020,108.6057
BEL,2021,111.2559
BEL,2022,121.9337
CAN,1914,4.747169
CAN,1915,4.845931
CAN,1916,5.280485
CAN,1917,6.228601
CAN,1918,7.045035
CAN,1919,7.716619
CAN,1920,8.97419
CAN,1921,7.887806
CAN,1922,7.268897
CAN,1923,7.268897
CAN,1924,7.13063
CAN,1925,7.216223
CAN,1926,7.268897
CAN,1927,7.16355
CAN,1928,7.216223
CAN,1929,7.288649
CAN,1930,7.216223
CAN,1931,6.505136
CAN,1932,5.89281
CAN,1933,5.636028
CAN,1934,5.70187
CAN,1935,5.728207
CAN,1936,5.846721
CAN,1937,6.057414
CAN,1938,6.090334
CAN,1939,6.044245
CAN,1940,6.301027
CAN,1941,6.676323
CAN,1942,6.985778
CAN,1943,7.137214
CAN,1944,7.183302
CAN,1945,7.229392
CAN,1946,7.453253
CAN,1947,8.124835
CAN,1948,9.283645
CAN,1949,9.606268
CAN,1950,9.86305
CAN,1951,10.90335
CAN,1952,11.18646
CAN,1953,11.07453
CAN,1954,11.14696
CAN,1955,11.16671
CAN,1956,11.31815
CAN,1957,11.69344
CAN,1958,11.96998
CAN,1959,12.11483
CAN,1960,12.27943
CAN,1961,12.40453
CAN,1962,12.53621
CAN,1963,12.74032
CAN,1964,12.98393
CAN,1965,13.28681
CAN,1966,13.79378
CAN,1967,14.2876
CAN,1968,14.867
CAN,1969,15.54517
CAN,1970,16.06532
CAN,1971,16.49987
CAN,1972,17.32289
CAN,1973,18.61996
CAN,1974,20.66763
CAN,1975,22.87332
CAN,1976,24.59837
CAN,1977,26.56044
CAN,1978,28.9439
CAN,1979,31.59073
CAN,1980,34.79062
CAN,1981,39.12958
CAN,1982,43.34343
CAN,1983,45.88491
CAN,1984,47.86015
CAN,1985,49.75639
CAN,1986,51.84356
CAN,1987,54.10192
CAN,1988,56.28127
CAN,1989,59.08612
CAN,1990,61.91072
CAN,1991,65.39373
CAN,1992,66.36819
CAN,1993,67.606
CAN,1994,67.71793
CAN,1995,69.17303
CAN,1996,70.25941
CAN,1997,71.39848
CAN,1998,72.10956
CAN,1999,73.36055
CAN,2000,75.35555
CAN,2001,77.25836
CAN,2002,79.00316
CAN,2003,81.18251
CAN,2004,82.69028
CAN,2005,84.52068
CAN,2006,86.2128
CAN,2007,88.05636
CAN,2008,90.14353
CAN,2009,90.41348
CAN,2010,92.02002
CAN,2011,94.69976
CAN,2012,96.13511
CAN,2013,97.03713
CAN,2014,98.88728
CAN,2015,100.0
CAN,2016,101.4288
CAN,2017,103.0485
CAN,2018,105.3858
CAN,2019,107.4401
CAN,2020,108.2104
CAN,2021,111.8844
CAN,2022,119.4957
CZE,1991,32.45156
CZE,1992,36.0493
CZE,1993,43.55226
CZE,1994,47.92465
CZE,1995,52.23333
CZE,1996,56.80833
CZE,1997,61.69167
CZE,1998,68.29166
CZE,1999,69.75
CZE,2000,72.38333
CZE,2001,75.75833
CZE,2002,77.2
CZE,2003,77.29166
CZE,2004,79.425
CZE,2005,80.9
CZE,2006,82.95
CZE,2007,85.31667
CZE,2008,90.74167
CZE,2009,91.66666
