LOCATION,TIME,Value
AUS,1958,2.613002
AUS,1959,3.256618
AUS,1960,3.966841
AUS,1961,3.653984
AUS,1962,3.67826
AUS,1963,4.027682
AUS,1964,4.528525
AUS,1965,3.975944
AUS,1966,3.951213
AUS,1967,4.632608
AUS,1968,6.652974
AUS,1969,7.317072
AUS,1970,7.011195
AUS,1971,5.85566
AUS,1972,7.038809
AUS,1973,6.581208
AUS,1974,4.882499
AUS,1975,4.592401
AUS,1976,5.68406
AUS,1977,5.451769
AUS,1978,6.177924
AUS,1979,7.639335
AUS,1980,11.57022
AUS,1981,11.70298
AUS,1982,8.965257
AUS,1983,11.62757
AUS,1984,13.21127
AUS,1985,16.51881
AUS,1986,22.2822
AUS,1987,31.04002
AUS,1988,26.97814
AUS,1989,28.96189
AUS,1990,26.76051
AUS,1991,27.82293
AUS,1992,28.80249
AUS,1993,32.66813
AUS,1994,36.48568
AUS,1995,36.34457
AUS,1996,40.20248
AUS,1997,45.42818
AUS,1998,47.5461
AUS,1999,52.8114
AUS,2000,58.39363
AUS,2001,60.10427
AUS,2002,58.74319
AUS,2003,55.88747
AUS,2004,64.58517
AUS,2005,78.48778
AUS,2006,93.19911
AUS,2007,113.0436
AUS,2008,90.91695
AUS,2009,74.28973
AUS,2010,84.44438
AUS,2011,81.73172
AUS,2012,78.3949
AUS,2013,92.30541
AUS,2014,98.61095
AUS,2015,100.0
AUS,2016,96.06994
AUS,2017,105.6478
AUS,2018,109.2051
AUS,2019,117.3262
AUS,2020,111.1882
AUS,2021,130.4751
AUS,2022,128.3665
AUT,1957,5.341806
AUT,1958,4.904708
AUT,1959,6.468522
AUT,1960,8.825379
AUT,1961,14.14869
AUT,1962,14.72092
AUT,1963,12.13532
AUT,1964,11.54573
AUT,1965,11.04861
AUT,1966,10.50696
AUT,1967,9.933977
AUT,1968,10.51914
AUT,1969,10.54116
AUT,1970,11.76789
AUT,1971,11.95279
AUT,1972,12.99461
AUT,1973,15.40357
AUT,1974,14.56272
AUT,1975,14.48146
AUT,1976,14.69967
AUT,1977,13.80704
AUT,1978,12.91291
AUT,1979,13.01557
AUT,1980,13.5249
AUT,1981,12.12979
AUT,1982,10.77073
AUT,1983,11.57881
AUT,1984,11.95528
AUT,1985,21.969
AUT,1986,28.62971
AUT,1987,24.33186
AUT,1988,23.1332
AUT,1989,40.02851
AUT,1990,65.92688
AUT,1991,54.92773
AUT,1992,43.62307
AUT,1993,42.58729
AUT,1994,48.85884
AUT,1995,42.32459
AUT,1996,44.36375
AUT,1997,50.19534
AUT,1998,56.54815
AUT,1999,51.16523
AUT,2000,50.73743
AUT,2001,50.79045
AUT,2002,51.46922
AUT,2003,57.27275
AUT,2004,82.07992
AUT,2005,119.5495
AUT,2006,155.9491
AUT,2007,185.8775
AUT,2008,133.7203
AUT,2009,84.50336
AUT,2010,101.8649
AUT,2011,102.7466
AUT,2012,88.9893
AUT,2013,100.3004
AUT,2014,99.13908
AUT,2015,100.0
AUT,2016,96.95738
AUT,2017,129.7757
AUT,2018,139.4346
AUT,2019,130.051
AUT,2020,106.1938
AUT,2021,145.9151
AUT,2022,137.3584
BEL,1986,19.3133
BEL,1987,23.23323
BEL,1988,24.37525
BEL,1989,29.89999
BEL,1990,27.39399
BEL,1991,25.71037
BEL,1992,24.96568
BEL,1993,27.55048
BEL,1994,30.73903
BEL,1995,30.06425
BEL,1996,36.25267
BEL,1997,48.46305
BEL,1998,67.2181
BEL,1999,69.4644
BEL,2000,62.68607
BEL,2001,58.91181
BEL,2002,52.47446
BEL,2003,44.54462
BEL,2004,58.37309
BEL,2005,75.49103
BEL,2006,93.67766
BEL,2007,106.4254
BEL,2008,77.69125
