LOCATION,TIME,Value
AUS,1965,5.608
AUS,1966,5.996
AUS,1967,6.631
AUS,1968,7.405
AUS,1969,8.488
AUS,1970,9.566
AUS,1971,11.308
AUS,1972,13.825
AUS,1973,19.44
AUS,1974,24.135
AUS,1975,26.81
AUS,1976,28.61
AUS,1977,30.087
AUS,1978,32.92
AUS,1979,38.163
AUS,1980,45.664
AUS,1981,49.939
AUS,1982,48.495
AUS,1983,49.526
AUS,1984,50.616
AUS,1985,49.348
AUS,1986,55.751
AUS,1987,68.479
AUS,1988,81.716
AUS,1989,88.85
AUS,1990,90.808
AUS,1991,85.14
AUS,1992,81.737
AUS,1993,87.196
AUS,1994,100.081
AUS,1995,113.636
AUS,1996,122.373
AUS,1997,114.669
AUS,1998,116.182
AUS,1999,120.471
AUS,2000,117.291
AUS,2001,115.542
AUS,2002,141.117
AUS,2003,177.636
AUS,2004,208.621
AUS,2005,225.719
AUS,2006,252.625
AUS,2007,289.86
AUS,2008,271.886
AUS,2009,279.257
AUS,2010,346.463
AUS,2011,399.797
AUS,2012,411.598
AUS,2013,401.892
AUS,2014,361.522
AUS,2015,344.314
AUS,2016,365.268
AUS,2017,397.957
AUS,2018,401.214
AUS,2019,379.582
AUS,2020,424.22
AUT,1979,37.487
AUT,1980,41.355
AUT,1981,36.29
AUT,1982,33.143
AUT,1983,31.899
AUT,1984,30.923
AUT,1985,31.914
AUT,1986,43.499
AUT,1987,52.555
AUT,1988,56.497
AUT,1989,54.879
AUT,1990,68.606
AUT,1991,72.452
AUT,1992,83.239
AUT,1993,78.586
AUT,1994,83.57
AUT,1995,95.285
AUT,1996,98.804
AUT,1997,92.91
AUT,1998,95.407
AUT,1999,93.59
AUT,2000,83.241
AUT,2001,86.671
AUT,2002,91.238
AUT,2003,111.087
AUT,2004,126.337
AUT,2005,129.503
AUT,2006,135.839
AUT,2007,157.63
AUT,2008,177.77
AUT,2009,163.992
AUT,2010,160.51
AUT,2011,177.319
AUT,2012,171.067
AUT,2013,183.326
AUT,2014,188.738
AUT,2015,164.7
AUT,2016,165.116
AUT,2017,174.337
AUT,2018,192.157
AUT,2019,189.456
AUT,2020,182.549
AUT,2021,207.188
BEL,1979,49.102
BEL,1980,52.031
BEL,1981,43.989
BEL,1982,42.979
BEL,1983,42.154
BEL,1984,40.963
BEL,1985,41.99
BEL,1986,56.687
BEL,1987,70.282
BEL,1988,74.777
BEL,1989,72.338
BEL,1990,89.387
BEL,1991,91.649
BEL,1992,99.732
BEL,1993,96.242
BEL,1994,103.383
BEL,1995,117.872
BEL,1996,117.92
BEL,1997,111.27
BEL,1998,115.611
BEL,1999,114.212
BEL,2000,103.603
BEL,2001,103.429
BEL,2002,113.088
BEL,2003,137.695
BEL,2004,160.315
BEL,2005,167.065
BEL,2006,176.383
BEL,2007,201.894
BEL,2008,224.183
BEL,2009,205.528
BEL,2010,206.24
BEL,2011,227.454
BEL,2012,220.042
BEL,2013,234.87
BEL,2014,239.28
BEL,2015,203.924
BEL,2016,205.882
BEL,2017,219.722
BEL,2018,237.941
BEL,2019,227.033
BEL,2020,221.165
BEL,2021,252.019
CAN,1965,14.21
CAN,1966,16.409
CAN,1967,18.324
CAN,1968,20.745
CAN,1969,24.723
CAN,1970,27.214
CAN,1971,30.621
CAN,1972,35.41
CAN,1973,41.243
CAN,1974,52.682
CAN,1975,57.103
CAN,1976,64.489
CAN,1977,64.088
CAN,1978,66.768
CAN,1979,74.441
CAN,1980,85.842
CAN,1981,101.083
CAN,1982,103.102
CAN,1983,109.923
CAN,1984,113.807
CAN,1985,117.111
CAN,1986,126.013
CAN,1987,150.7
CAN,1988,172.566
CAN,1989,196.67
CAN,1990,210.144
CAN,1991,215.732
CAN,1992,206.586
CAN,1993,198.945
CAN,1994,201.989
CAN,1995,211.541
CAN,1996,222.429
CAN,1997,232.571
CAN,1998,228.894
CAN,1999,246.475
CAN,2000,259.995
CAN,2001,251.952
CAN,2002,251.511
CAN,2003,292.998
CAN,2004,335.836
CAN,2005,383.179
CAN,2006,431.764
CAN,2007,477.199
CAN,2008,484.818
CAN,2009,445.313
CAN,2010,501.431
CAN,2011,552.47
CAN,2012,570.109
CAN,2013,574.887
CAN,2014,564.62
CAN,2015,511.056
CAN,2016,508.26
CAN,2017,544.915
CAN,2018,576.577
CAN,2019,576.031
CAN,2020,563.666
CAN,2021,661.276
CZE,1993,15.01
CZE,1994,16.977
CZE,1995,20.749
CZE,1996,22.308
CZE,1997,20.762
CZE,1998,21.578
CZE,1999,21.574
CZE,2000,19.971
CZE,2001,21.978
CZE,2002,27.356
CZE,2003,34.13
CZE,2004,41.338
CZE,2005,46.956
CZE,2006,52.908
CZE,2007,64.873
CZE,2008,78.828
CZE,2009,66.605
CZE,2010,67.447
CZE,2011,75.914
CZE,2012,69.979
CZE,2013,71.397
CZE,2014,68.776
CZE,2015,62.317
CZE,2016,66.792
CZE,2017,75.262
CZE,2018,87.088
CZE,2019,87.836
CZE,2020,85.41
CZE,2021,95.342
DNK,1965,3.011
DNK,1966,3.54
DNK,1967,3.921
DNK,1968,4.452
DNK,1969,4.998
DNK,1970,6.295
DNK,1971,7.615
DNK,1972,9.115
DNK,1973,11.972
DNK,1974,13.932
DNK,1975,15.027
DNK,1976,16.981
DNK,1977,19.193
DNK,1978,23.997
DNK,1979,28.701
DNK,1980,29.518
DNK,1981,25.404
DNK,1982,24.071
DNK,1983,25.155
DNK,1984,25.192
DNK,1985,27.515
DNK,1986,40.638
DNK,1987,51.178
DNK,1988,54.579
DNK,1989,51.753
DNK,1990,61.4
DNK,1991,60.983
DNK,1992,67.466
DNK,1993,65.117
DNK,1994,72.664
DNK,1995,86.006
DNK,1996,87.656
DNK,1997,81.095
DNK,1998,83.732
DNK,1999,85.156
DNK,2000,76.903
DNK,2001,75.689
DNK,2002,81.216
DNK,2003,99.575
DNK,2004,116.689
DNK,2005,126.973
DNK,2006,131.517
