"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25071.833,
"AUS","GDP","TOT","MLN_USD","A","1961",25363.455,
"AUS","GDP","TOT","MLN_USD","A","1962",27953.904,
"AUS","GDP","TOT","MLN_USD","A","1963",30431.547,
"AUS","GDP","TOT","MLN_USD","A","1964",32742.466,
"AUS","GDP","TOT","MLN_USD","A","1965",34538.087,
"AUS","GDP","TOT","MLN_USD","A","1966",38340.322,
"AUS","GDP","TOT","MLN_USD","A","1967",41063.061,
"AUS","GDP","TOT","MLN_USD","A","1968",46555.241,
"AUS","GDP","TOT","MLN_USD","A","1969",52208.329,
"AUS","GDP","TOT","MLN_USD","A","1970",58911.123,
"AUS","GDP","TOT","MLN_USD","A","1971",64192.384,
"AUS","GDP","TOT","MLN_USD","A","1972",69871.924,
"AUS","GDP","TOT","MLN_USD","A","1973",78914.75,
"AUS","GDP","TOT","MLN_USD","A","1974",86394.431,
"AUS","GDP","TOT","MLN_USD","A","1975",96933.513,
"AUS","GDP","TOT","MLN_USD","A","1976",104370.768,
"AUS","GDP","TOT","MLN_USD","A","1977",110361.996,
"AUS","GDP","TOT","MLN_USD","A","1978",123440.344,
"AUS","GDP","TOT","MLN_USD","A","1979",138091.009,
"AUS","GDP","TOT","MLN_USD","A","1980",155157.89,
"AUS","GDP","TOT","MLN_USD","A","1981",178430.317,
"AUS","GDP","TOT","MLN_USD","A","1982",182041.004,
"AUS","GDP","TOT","MLN_USD","A","1983",196746.258,
"AUS","GDP","TOT","MLN_USD","A","1984",212020.678,
"AUS","GDP","TOT","MLN_USD","A","1985",229153.081,
"AUS","GDP","TOT","MLN_USD","A","1986",240014.679,
"AUS","GDP","TOT","MLN_USD","A","1987",261085.322,
"AUS","GDP","TOT","MLN_USD","A","1988",283190.956,
"AUS","GDP","TOT","MLN_USD","A","1989",299886.891,
"AUS","GDP","TOT","MLN_USD","A","1990",304408.929,
"AUS","GDP","TOT","MLN_USD","A","1991",314181.011,
"AUS","GDP","TOT","MLN_USD","A","1992",334849.617,
"AUS","GDP","TOT","MLN_USD","A","1993",355957.486,
"AUS","GDP","TOT","MLN_USD","A","1994",381621.283,
"AUS","GDP","TOT","MLN_USD","A","1995",404071.671,
"AUS","GDP","TOT","MLN_USD","A","1996",424444.69,
"AUS","GDP","TOT","MLN_USD","A","1997",450947.394,
"AUS","GDP","TOT","MLN_USD","A","1998",478369.09,
"AUS","GDP","TOT","MLN_USD","A","1999",510551.679,
"AUS","GDP","TOT","MLN_USD","A","2000",538759.875,
"AUS","GDP","TOT","MLN_USD","A","2001",569497.649,
"AUS","GDP","TOT","MLN_USD","A","2002",600598.648,
"AUS","GDP","TOT","MLN_USD","A","2003",638782.462,
"AUS","GDP","TOT","MLN_USD","A","2004",677715.434,
"AUS","GDP","TOT","MLN_USD","A","2005",719487.043,
"AUS","GDP","TOT","MLN_USD","A","2006",775886.237,
"AUS","GDP","TOT","MLN_USD","A","2007",826594.305,
"AUS","GDP","TOT","MLN_USD","A","2008",852737.657,
"AUS","GDP","TOT","MLN_USD","A","2009",903956.83,
"AUS","GDP","TOT","MLN_USD","A","2010",943323.281,
"AUS","GDP","TOT","MLN_USD","A","2011",992802.546,
"AUS","GDP","TOT","MLN_USD","A","2012",997651.363,
"AUS","GDP","TOT","MLN_USD","A","2013",1104672.434,
"AUS","GDP","TOT","MLN_USD","A","2014",1117601.897,
"AUS","GDP","TOT","MLN_USD","A","2015",1124752.51,
"AUS","GDP","TOT","MLN_USD","A","2016",1212854.276,
"AUS","GDP","TOT","MLN_USD","A","2017",1247085.553,
"AUS","GDP","TOT","MLN_USD","A","2018",1323863.624,
"AUS","GDP","TOT","MLN_USD","A","2019",1337585.758,
"AUS","GDP","TOT","MLN_USD","A","2020",1430883.479,
"AUS","GDP","TOT","MLN_USD","A","2021",1595175.273,
"AUS","GDP","TOT","USD_CAP","A","1960",2412.627589,
"AUS","GDP","TOT","USD_CAP","A","1961",2383.188902,
"AUS","GDP","TOT","USD_CAP","A","1962",2577.332834,
"AUS","GDP","TOT","USD_CAP","A","1963",2752.620592,
"AUS","GDP","TOT","USD_CAP","A","1964",2902.590472,
"AUS","GDP","TOT","USD_CAP","A","1965",3001.900269,
"AUS","GDP","TOT","USD_CAP","A","1966",3275.594754,
"AUS","GDP","TOT","USD_CAP","A","1967",3447.128012,
"AUS","GDP","TOT","USD_CAP","A","1968",3833.100887,
"AUS","GDP","TOT","USD_CAP","A","1969",4207.900059,
"AUS","GDP","TOT","USD_CAP","A","1970",4652.052555,
"AUS","GDP","TOT","USD_CAP","A","1971",4863.656325,
"AUS","GDP","TOT","USD_CAP","A","1972",5210.710998,
"AUS","GDP","TOT","USD_CAP","A","1973",5796.441599,
"AUS","GDP","TOT","USD_CAP","A","1974",6245.992541,
"AUS","GDP","TOT","USD_CAP","A","1975",6939.246847,
"AUS","GDP","TOT","USD_CAP","A","1976",7396.879985,
"AUS","GDP","TOT","USD_CAP","A","1977",7727.601527,
"AUS","GDP","TOT","USD_CAP","A","1978",8553.932397,
"AUS","GDP","TOT","USD_CAP","A","1979",9456.681329,
"AUS","GDP","TOT","USD_CAP","A","1980",10478.42327,
"AUS","GDP","TOT","USD_CAP","A","1981",11956.491969,
"AUS","GDP","TOT","USD_CAP","A","1982",11988.843953,
"AUS","GDP","TOT","USD_CAP","A","1983",12781.125663,
"AUS","GDP","TOT","USD_CAP","A","1984",13609.040018,
"AUS","GDP","TOT","USD_CAP","A","1985",14514.107374,
"AUS","GDP","TOT","USD_CAP","A","1986",14983.686193,
