"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2007",13737.93,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2008",14835.57,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2009",15963.85,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2010",15802.56,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2011",16535.76,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2012",15949.44,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2013",17487.45,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2014",17509.31,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2015",17721.53,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2016",18461.27,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2017",18752.45,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2018",19518.12,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2019",22013.16,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2020",24764.9,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2021",24768.29,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2007",19417.96,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2008",20605.94,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2009",22159.93,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2010",22203.9,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2011",22633.45,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2012",23802.61,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2013",24758.19,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2014",25593.4,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2015",25536.12,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2016",26370.11,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2017",26714.25,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2018",27770.44,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2019",28223.98,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2020",31740.3,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2021",32935.95,
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.8060741611047,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.6243949300562,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.2721092458099,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.2242426288898,
"AUT","GGEXP","TOT","PC_GDP","A","1999",52.0615148605415,
"AUT","GGEXP","TOT","PC_GDP","A","2000",51.0329883250733,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.3557097451229,
"AUT","GGEXP","TOT","PC_GDP","A","2002",51.0543046642687,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.2709948820521,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.7051142847075,
"AUT","GGEXP","TOT","PC_GDP","A","2005",51.1555228390606,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.3799335721589,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.244122704307,
"AUT","GGEXP","TOT","PC_GDP","A","2008",49.8739846837189,
"AUT","GGEXP","TOT","PC_GDP","A","2009",54.1447935631505,
"AUT","GGEXP","TOT","PC_GDP","A","2010",52.8397855413296,
"AUT","GGEXP","TOT","PC_GDP","A","2011",50.8969148481795,
"AUT","GGEXP","TOT","PC_GDP","A","2012",51.2130309505285,
"AUT","GGEXP","TOT","PC_GDP","A","2013",51.6476665446164,
