"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHEXP","TOT","MLN_USD","A","1970",30476.5102571076,
"AUS","HHEXP","TOT","MLN_USD","A","1971",32799.8440165411,
"AUS","HHEXP","TOT","MLN_USD","A","1972",35590.1835647659,
"AUS","HHEXP","TOT","MLN_USD","A","1973",41114.4566235354,
"AUS","HHEXP","TOT","MLN_USD","A","1974",48461.8518724997,
"AUS","HHEXP","TOT","MLN_USD","A","1975",52423.9613999894,
"AUS","HHEXP","TOT","MLN_USD","A","1976",56900.9851313886,
"AUS","HHEXP","TOT","MLN_USD","A","1977",61232.6799417557,
"AUS","HHEXP","TOT","MLN_USD","A","1978",66856.7770247782,
"AUS","HHEXP","TOT","MLN_USD","A","1979",74341.2277685107,
"AUS","HHEXP","TOT","MLN_USD","A","1980",84610.8201737215,
"AUS","HHEXP","TOT","MLN_USD","A","1981",97471.7261185984,
"AUS","HHEXP","TOT","MLN_USD","A","1982",105755.748305925,
"AUS","HHEXP","TOT","MLN_USD","A","1983",109590.118116318,
"AUS","HHEXP","TOT","MLN_USD","A","1984",113898.977822034,
"AUS","HHEXP","TOT","MLN_USD","A","1985",124529.775229599,
"AUS","HHEXP","TOT","MLN_USD","A","1986",130248.949812747,
"AUS","HHEXP","TOT","MLN_USD","A","1987",137662.806790215,
"AUS","HHEXP","TOT","MLN_USD","A","1988",149366.901166335,
"AUS","HHEXP","TOT","MLN_USD","A","1989",162749.855492224,
"AUS","HHEXP","TOT","MLN_USD","A","1990",169853.76564642,
"AUS","HHEXP","TOT","MLN_USD","A","1991",177805.033538701,
"AUS","HHEXP","TOT","MLN_USD","A","1992",185891.95380911,
"AUS","HHEXP","TOT","MLN_USD","A","1993",194157.359581188,
"AUS","HHEXP","TOT","MLN_USD","A","1994",207909.459783654,
"AUS","HHEXP","TOT","MLN_USD","A","1995",219388.82541227,
"AUS","HHEXP","TOT","MLN_USD","A","1996",229298.957507831,
"AUS","HHEXP","TOT","MLN_USD","A","1997",245206.343554388,
"AUS","HHEXP","TOT","MLN_USD","A","1998",259904.750782677,
"AUS","HHEXP","TOT","MLN_USD","A","1999",276904.420279827,
"AUS","HHEXP","TOT","MLN_USD","A","2000",296144.255306775,
"AUS","HHEXP","TOT","MLN_USD","A","2001",308322.302540843,
"AUS","HHEXP","TOT","MLN_USD","A","2002",325842.256252559,
"AUS","HHEXP","TOT","MLN_USD","A","2003",340377.571222691,
"AUS","HHEXP","TOT","MLN_USD","A","2004",365384.965378243,
"AUS","HHEXP","TOT","MLN_USD","A","2005",382676.631346896,
"AUS","HHEXP","TOT","MLN_USD","A","2006",407588.979330053,
"AUS","HHEXP","TOT","MLN_USD","A","2007",438388.987210112,
"AUS","HHEXP","TOT","MLN_USD","A","2008",444942.230314535,
"AUS","HHEXP","TOT","MLN_USD","A","2009",465988.600277404,
"AUS","HHEXP","TOT","MLN_USD","A","2010",491893.346534284,
"AUS","HHEXP","TOT","MLN_USD","A","2011",526988.163578016,
"AUS","HHEXP","TOT","MLN_USD","A","2012",543065.524426951,
"AUS","HHEXP","TOT","MLN_USD","A","2013",577621.55310936,
"AUS","HHEXP","TOT","MLN_USD","A","2014",595208.682962021,
"AUS","HHEXP","TOT","MLN_USD","A","2015",611257.658170229,
"AUS","HHEXP","TOT","MLN_USD","A","2016",637321.742774304,
"AUS","HHEXP","TOT","MLN_USD","A","2017",650660.331483639,
"AUS","HHEXP","TOT","MLN_USD","A","2018",673616.626363316,
"AUS","HHEXP","TOT","MLN_USD","A","2019",651797.857468435,
"AUS","HHEXP","TOT","MLN_USD","A","2020",669369.661745665,
"AUS","HHEXP","TOT","MLN_USD","A","2021",721316.817302946,
"AUT","HHEXP","TOT","MLN_USD","A","1970",14480.355037322,
"AUT","HHEXP","TOT","MLN_USD","A","1971",16109.470772665,
"AUT","HHEXP","TOT","MLN_USD","A","1972",17672.0623869961,
"AUT","HHEXP","TOT","MLN_USD","A","1973",19624.0302539781,
"AUT","HHEXP","TOT","MLN_USD","A","1974",22315.2567246911,
"AUT","HHEXP","TOT","MLN_USD","A","1975",24960.4775715368,
"AUT","HHEXP","TOT","MLN_USD","A","1976",27526.2329330566,
"AUT","HHEXP","TOT","MLN_USD","A","1977",31201.6756412255,
"AUT","HHEXP","TOT","MLN_USD","A","1978",32803.5014767542,
"AUT","HHEXP","TOT","MLN_USD","A","1979",37413.3075098295,
"AUT","HHEXP","TOT","MLN_USD","A","1980",42486.5525955992,
"AUT","HHEXP","TOT","MLN_USD","A","1981",46883.1571722605,
"AUT","HHEXP","TOT","MLN_USD","A","1982",50439.0135543324,
"AUT","HHEXP","TOT","MLN_USD","A","1983",55442.1354210357,
"AUT","HHEXP","TOT","MLN_USD","A","1984",56311.9346598961,
"AUT","HHEXP","TOT","MLN_USD","A","1985",59331.7396982867,
"AUT","HHEXP","TOT","MLN_USD","A","1986",61952.0421489552,
"AUT","HHEXP","TOT","MLN_USD","A","1987",65406.114137045,
"AUT","HHEXP","TOT","MLN_USD","A","1988",69598.5980298832,
"AUT","HHEXP","TOT","MLN_USD","A","1989",75244.2056452979,
"AUT","HHEXP","TOT","MLN_USD","A","1990",81874.1135639773,
"AUT","HHEXP","TOT","MLN_USD","A","1991",87145.5843481003,
"AUT","HHEXP","TOT","MLN_USD","A","1992",92581.4802072081,
"AUT","HHEXP","TOT","MLN_USD","A","1993",94988.0407459733,
"AUT","HHEXP","TOT","MLN_USD","A","1994",98951.2539275735,
"AUT","HHEXP","TOT","MLN_USD","A","1995",101895.906955206,
"AUT","HHEXP","TOT","MLN_USD","A","1996",107059.764401245,
"AUT","HHEXP","TOT","MLN_USD","A","1997",109367.168233355,
"AUT","HHEXP","TOT","MLN_USD","A","1998",114393.72078242,
"AUT","HHEXP","TOT","MLN_USD","A","1999",117824.550921006,
"AUT","HHEXP","TOT","MLN_USD","A","2000",126631.90754313,
"AUT","HHEXP","TOT","MLN_USD","A","2001",128934.784786164,
"AUT","HHEXP","TOT","MLN_USD","A","2002",133123.6969383,
"AUT","HHEXP","TOT","MLN_USD","A","2003",139411.253943334,
"AUT","HHEXP","TOT","MLN_USD","A","2004",146063.783397967,
"AUT","HHEXP","TOT","MLN_USD","A","2005",154029.882967281,
"AUT","HHEXP","TOT","MLN_USD","A","2006",162335.389313513,
"AUT","HHEXP","TOT","MLN_USD","A","2007",168215.896038238,
"AUT","HHEXP","TOT","MLN_USD","A","2008",174583.583309088,
"AUT","HHEXP","TOT","MLN_USD","A","2009",178341.142429808,
"AUT","HHEXP","TOT","MLN_USD","A","2010",184797.838966308,
"AUT","HHEXP","TOT","MLN_USD","A","2011",194567.048510333,
"AUT","HHEXP","TOT","MLN_USD","A","2012",199057.684931164,
"AUT","HHEXP","TOT","MLN_USD","A","2013",205604.388327587,
"AUT","HHEXP","TOT","MLN_USD","A","2014",210370.528936849,
"AUT","HHEXP","TOT","MLN_USD","A","2015",213261.769245235,
"AUT","HHEXP","TOT","MLN_USD","A","2016",224616.247193907,
"AUT","HHEXP","TOT","MLN_USD","A","2017",231585.925691891,
"AUT","HHEXP","TOT","MLN_USD","A","2018",241762.643747646,
"AUT","HHEXP","TOT","MLN_USD","A","2019",250649.592713211,
"AUT","HHEXP","TOT","MLN_USD","A","2020",235682.174841826,
"AUT","HHEXP","TOT","MLN_USD","A","2021",249626.463432142,
"BEL","HHEXP","TOT","MLN_USD","A","1970",17870.4898716368,
"BEL","HHEXP","TOT","MLN_USD","A","1971",19545.8850316602,
"BEL","HHEXP","TOT","MLN_USD","A","1972",21409.2990350371,
"BEL","HHEXP","TOT","MLN_USD","A","1973",24400.8661562313,
"BEL","HHEXP","TOT","MLN_USD","A","1974",27696.6215083824,
"BEL","HHEXP","TOT","MLN_USD","A","1975",30262.1469405194,
"BEL","HHEXP","TOT","MLN_USD","A","1976",33545.1489237133,
"BEL","HHEXP","TOT","MLN_USD","A","1977",36667.1333833614,
"BEL","HHEXP","TOT","MLN_USD","A","1978",40197.4461778092,
"BEL","HHEXP","TOT","MLN_USD","A","1979",46014.6888272179,
"BEL","HHEXP","TOT","MLN_USD","A","1980",50555.602952024,
"BEL","HHEXP","TOT","MLN_USD","A","1981",55314.8837129993,
"BEL","HHEXP","TOT","MLN_USD","A","1982",59811.1813145227,
"BEL","HHEXP","TOT","MLN_USD","A","1983",62261.7383871896,
"BEL","HHEXP","TOT","MLN_USD","A","1984",64851.6776791297,
"BEL","HHEXP","TOT","MLN_USD","A","1985",68931.8300696676,
"BEL","HHEXP","TOT","MLN_USD","A","1986",72346.5338687321,
"BEL","HHEXP","TOT","MLN_USD","A","1987",75871.1648777113,
"BEL","HHEXP","TOT","MLN_USD","A","1988",81451.9733681545,
"BEL","HHEXP","TOT","MLN_USD","A","1989",87820.6974286221,
"BEL","HHEXP","TOT","MLN_USD","A","1990",94586.6924902681,
"BEL","HHEXP","TOT","MLN_USD","A","1991",100701.401414585,
"BEL","HHEXP","TOT","MLN_USD","A","1992",105358.542348948,
"BEL","HHEXP","TOT","MLN_USD","A","1993",107498.720378881,
"BEL","HHEXP","TOT","MLN_USD","A","1994",112370.121635901,
"BEL","HHEXP","TOT","MLN_USD","A","1995",116544.355878779,
"BEL","HHEXP","TOT","MLN_USD","A","1996",120033.782071376,
"BEL","HHEXP","TOT","MLN_USD","A","1997",123455.461384913,
"BEL","HHEXP","TOT","MLN_USD","A","1998",126597.613636032,
"BEL","HHEXP","TOT","MLN_USD","A","1999",130953.821839877,
"BEL","HHEXP","TOT","MLN_USD","A","2000",145011.11512461,
"BEL","HHEXP","TOT","MLN_USD","A","2001",149756.922782565,
"BEL","HHEXP","TOT","MLN_USD","A","2002",154595.415438556,
"BEL","HHEXP","TOT","MLN_USD","A","2003",155342.919959013,
"BEL","HHEXP","TOT","MLN_USD","A","2004",161816.595792588,
