"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1994",25.2902539610302,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1995",23.9546917741504,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1996",24.02113924118,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1997",22.6410701867942,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1998",21.0477000998725,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1999",21.1268150103097,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2000",20.868682683255,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2001",20.3279731511577,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2002",21.1236743113171,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2003",20.8048102165889,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2004",20.8905225893987,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2005",20.1826182091844,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2006",19.5196845535408,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2007",18.4371834061773,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2008",18.2093085096422,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2009",17.2834543646093,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2010",17.6622856458238,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2011",18.3914270046255,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2012",18.2792897359328,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2013",18.9298362461495,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2014",17.9090589159176,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2015",17.233810553424,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2016",17.5474298975283,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2017",17.2715566387991,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2018",16.113606930228,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2019",16.5939888896824,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2020",16.2041558209406,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1992",18.5842953281561,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1993",16.0053880359949,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1994",14.7454582382407,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1995",16.8858292302241,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1996",17.5863621485977,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1997",18.3283636375733,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1998",18.8565969132006,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1999",20.0419505926739,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2000",21.7186717021943,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2001",22.1219890707423,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2002",22.2961057464014,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2003",21.9358019792507,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2004",22.2604264343267,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2005",29.8689696906046,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2006",30.5176248209478,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2007",36.1565501008012,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2008",25.6808543510008,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2009",35.9889449537455,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2010",34.7717363919199,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2011",32.179146685171,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2012",31.796631630029,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2013",35.4352832926468,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2014",34.783479840188,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2015",33.2034158515341,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2016",33.1491263504241,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2017",29.4807174680142,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2018",28.9230367760675,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2019",27.7769340303013,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1995",51.0960595074837,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1996",50.7783498158736,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1997",51.0987951953117,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1998",51.7943218859921,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1999",50.8401456570292,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2000",47.5022519941085,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2001",45.6547691822963,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2002",44.9466125804292,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2003",43.6083910978919,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2004",42.5699446844187,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2005",43.2057123022035,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2006",42.4351069414333,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2007",42.6948534874707,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2008",41.9317647093981,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2009",57.5300574922939,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2010",61.7108896228221,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2011",69.958945396101,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2012",78.7734410211881,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2013",77.6697691091988,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2014",79.4981220065169,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2015",85.7120306352411,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2016",89.1162751743277,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2017",88.4935841137383,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2018",85.3885575191205,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2019",92.8907977246111,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2020",91.1636767708308,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2021",84.2267431844435,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1995",16.5524081420785,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1996",13.596301112556,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1997",13.5410423538972,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1998",14.1439443305255,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1999",12.4554366872501,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2000",14.8206911190583,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2001",13.4242006525895,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2002",13.8704692189006,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2003",26.1723372513671,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2004",17.4502780860097,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2005",18.0466954372358,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2006",18.1729201951981,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2007",15.7952640175611,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2008",17.9474017143746,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2009",21.7125253439172,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2010",18.6771056173473,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2011",16.6696262383047,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2012",15.8355073073578,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2013",14.5010717562716,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2014",16.12299838222,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2015",19.2513961474071,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2016",12.972359454962,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2017",13.4267363066168,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2018",15.7709216429238,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2019",16.1259538332583,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2020",18.268017130864,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2021",17.9886985563049,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2003",67.9023859135872,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2004",64.8689766068588,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2005",68.8909861690007,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2006",66.8557904337924,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2007",65.6824261123806,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2008",68.7246085469046,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2009",69.0839980235623,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2010",71.6110008983589,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2011",72.7297997318823,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2012",74.4248388230936,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2013",75.2140536950678,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2014",75.0857774612623,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2015",73.2345047620511,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2016",72.5895493728587,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2017",73.0952244765365,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2018",74.3733913301829,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2019",74.8806906197952,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2020",76.8111348516631,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1995",15.4595751157107,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1996",14.304375253554,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1997",11.6093595288968,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1998",11.3607505713869,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1999",11.3778410207627,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2000",10.3693778994739,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2001",9.74072285983893,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2002",11.1487645284815,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2003",10.3018549958227,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2004",10.1900177704395,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2005",12.7029846490592,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2006",12.709316310482,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2007",12.9939934817984,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2008",13.919657664667,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2009",15.0345496311143,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2010",15.0435027541312,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2011",13.4708542828937,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2012",12.9659829824851,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2013",13.2003923376248,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2014",13.0478841000521,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2015",13.1319284648403,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2016",12.886982378908,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2017",13.1523647146714,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2018",12.7277897886835,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2019",12.5414359057283,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2020",13.2603613132865,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2021",13.1683194096248,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1994",21.093236654454,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1995",20.466562226149,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1996",20.5613240824021,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1997",19.3989403042896,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1998",19.7740551736693,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1999",21.4125515731236,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2000",19.2361655647722,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2001",19.4214584542924,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2002",19.5188713013767,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2003",18.2017503167448,
