"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","LF","MEN","THND_PER","A","1960",2791,
"PRT","LF","MEN","THND_PER","A","1974",2259,
"PRT","LF","MEN","THND_PER","A","1975",2378,
"PRT","LF","MEN","THND_PER","A","1976",2481,
"PRT","LF","MEN","THND_PER","A","1977",2477,
"PRT","LF","MEN","THND_PER","A","1978",2475,
"PRT","LF","MEN","THND_PER","A","1979",2480,
"PRT","LF","MEN","THND_PER","A","1980",2542,
"PRT","LF","MEN","THND_PER","A","1981",2475,
"PRT","LF","MEN","THND_PER","A","1982",2483,"B"
"PRT","LF","MEN","THND_PER","A","1983",2619,
"PRT","LF","MEN","THND_PER","A","1984",2601,
"PRT","LF","MEN","THND_PER","A","1985",2574,
"PRT","LF","MEN","THND_PER","A","1986",2593,
"PRT","LF","MEN","THND_PER","A","1987",2585,
"PRT","LF","MEN","THND_PER","A","1988",2591,
"PRT","LF","MEN","THND_PER","A","1989",2626,
"PRT","LF","MEN","THND_PER","A","1990",2769,
"PRT","LF","MEN","THND_PER","A","1991",2655,"B"
"PRT","LF","MEN","THND_PER","A","1992",2599.3,
"PRT","LF","MEN","THND_PER","A","1993",2569.2,
"PRT","LF","MEN","THND_PER","A","1994",2592.3,
"PRT","LF","MEN","THND_PER","A","1995",2580.2,
"PRT","LF","MEN","THND_PER","A","1996",2591.5,
"PRT","LF","MEN","THND_PER","A","1997",2618,"B"
"PRT","LF","MEN","THND_PER","A","1998",2808.875,
"PRT","LF","MEN","THND_PER","A","1999",2826.25,
"PRT","LF","MEN","THND_PER","A","2000",2866.275,
"PRT","LF","MEN","THND_PER","A","2001",2907.575,
"PRT","LF","MEN","THND_PER","A","2002",2934.55,
"PRT","LF","MEN","THND_PER","A","2003",2921.5,
"PRT","LF","MEN","THND_PER","A","2004",2904.45,"B"
"PRT","LF","MEN","THND_PER","A","2005",2899.475,
"PRT","LF","MEN","THND_PER","A","2006",2914.775,
"PRT","LF","MEN","THND_PER","A","2007",2916.875,
"PRT","LF","MEN","THND_PER","A","2008",2913.625,
"PRT","LF","MEN","THND_PER","A","2009",2864.5,
"PRT","LF","MEN","THND_PER","A","2010",2846.6,"B"
"PRT","LF","MEN","THND_PER","A","2011",2836.575,
"PRT","LF","MEN","THND_PER","A","2012",2790.775,
"PRT","LF","MEN","THND_PER","A","2013",2723.45,
"PRT","LF","MEN","THND_PER","A","2014",2680,
"PRT","LF","MEN","THND_PER","A","2015",2656.3,
"PRT","LF","MEN","THND_PER","A","2016",2651.825,
"PRT","LF","MEN","THND_PER","A","2017",2665.525,
"PRT","LF","MEN","THND_PER","A","2018",2660.225,
"PRT","LF","MEN","THND_PER","A","2019",2657.475,
"PRT","LF","MEN","THND_PER","A","2020",2610.125,"B"
"PRT","LF","MEN","THND_PER","A","2021",2590.775,
"USA","LF","TOT","THND_PER","Q","1955-Q1",63829.33,
"USA","LF","TOT","THND_PER","Q","1955-Q2",64475.67,
"USA","LF","TOT","THND_PER","Q","1955-Q3",65451.33,
"USA","LF","TOT","THND_PER","Q","1955-Q4",66101,
"USA","LF","TOT","THND_PER","Q","1956-Q1",66239.34,
"USA","LF","TOT","THND_PER","Q","1956-Q2",66562.66,
"USA","LF","TOT","THND_PER","Q","1956-Q3",66713,
"USA","LF","TOT","THND_PER","Q","1956-Q4",66634.34,
"USA","LF","TOT","THND_PER","Q","1957-Q1",66740,
"USA","LF","TOT","THND_PER","Q","1957-Q2",66798,
"USA","LF","TOT","THND_PER","Q","1957-Q3",67035.34,
"USA","LF","TOT","THND_PER","Q","1957-Q4",67195.66,
"USA","LF","TOT","THND_PER","Q","1958-Q1",67173,
"USA","LF","TOT","THND_PER","Q","1958-Q2",67738.66,
"USA","LF","TOT","THND_PER","Q","1958-Q3",67954.34,
"USA","LF","TOT","THND_PER","Q","1958-Q4",67814.34,
"USA","LF","TOT","THND_PER","Q","1959-Q1",67884.34,
"USA","LF","TOT","THND_PER","Q","1959-Q2",68265,
"USA","LF","TOT","THND_PER","Q","1959-Q3",68505.34,
"USA","LF","TOT","THND_PER","Q","1959-Q4",68782.66,
"USA","LF","TOT","THND_PER","Q","1960-Q1",68770,
"USA","LF","TOT","THND_PER","Q","1960-Q2",69713,
