"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXREV","TOT","PC_GDP","A","1965",20.609,
"AUS","TAXREV","TOT","PC_GDP","A","1966",19.829,
"AUS","TAXREV","TOT","PC_GDP","A","1967",20.409,
"AUS","TAXREV","TOT","PC_GDP","A","1968",20.34,
"AUS","TAXREV","TOT","PC_GDP","A","1969",20.681,
"AUS","TAXREV","TOT","PC_GDP","A","1970",21.073,
"AUS","TAXREV","TOT","PC_GDP","A","1971",21.824,
"AUS","TAXREV","TOT","PC_GDP","A","1972",21.38,
"AUS","TAXREV","TOT","PC_GDP","A","1973",22.469,
"AUS","TAXREV","TOT","PC_GDP","A","1974",24.608,
"AUS","TAXREV","TOT","PC_GDP","A","1975",25.344,
"AUS","TAXREV","TOT","PC_GDP","A","1976",25.525,
"AUS","TAXREV","TOT","PC_GDP","A","1977",25.392,
"AUS","TAXREV","TOT","PC_GDP","A","1978",24.499,
"AUS","TAXREV","TOT","PC_GDP","A","1979",25.119,
"AUS","TAXREV","TOT","PC_GDP","A","1980",26.179,
"AUS","TAXREV","TOT","PC_GDP","A","1981",26.352,
"AUS","TAXREV","TOT","PC_GDP","A","1982",26.826,
"AUS","TAXREV","TOT","PC_GDP","A","1983",26.076,
"AUS","TAXREV","TOT","PC_GDP","A","1984",27.671,
"AUS","TAXREV","TOT","PC_GDP","A","1985",27.725,
"AUS","TAXREV","TOT","PC_GDP","A","1986",28.502,
"AUS","TAXREV","TOT","PC_GDP","A","1987",28.609,
"AUS","TAXREV","TOT","PC_GDP","A","1988",28.264,
"AUS","TAXREV","TOT","PC_GDP","A","1989",27.978,
"AUS","TAXREV","TOT","PC_GDP","A","1990",28.071,
"AUS","TAXREV","TOT","PC_GDP","A","1991",26.633,
"AUS","TAXREV","TOT","PC_GDP","A","1992",26.099,
"AUS","TAXREV","TOT","PC_GDP","A","1993",26.569,
"AUS","TAXREV","TOT","PC_GDP","A","1994",27.455,
"AUS","TAXREV","TOT","PC_GDP","A","1995",28.229,
"AUS","TAXREV","TOT","PC_GDP","A","1996",28.873,
"AUS","TAXREV","TOT","PC_GDP","A","1997",28.629,
"AUS","TAXREV","TOT","PC_GDP","A","1998",29.395,
"AUS","TAXREV","TOT","PC_GDP","A","1999",29.823,
"AUS","TAXREV","TOT","PC_GDP","A","2000",30.402,
"AUS","TAXREV","TOT","PC_GDP","A","2001",28.876,
"AUS","TAXREV","TOT","PC_GDP","A","2002",29.743,
"AUS","TAXREV","TOT","PC_GDP","A","2003",29.84,
"AUS","TAXREV","TOT","PC_GDP","A","2004",30.145,
"AUS","TAXREV","TOT","PC_GDP","A","2005",29.849,
"AUS","TAXREV","TOT","PC_GDP","A","2006",29.301,
"AUS","TAXREV","TOT","PC_GDP","A","2007",29.423,
"AUS","TAXREV","TOT","PC_GDP","A","2008",26.743,
"AUS","TAXREV","TOT","PC_GDP","A","2009",25.425,
"AUS","TAXREV","TOT","PC_GDP","A","2010",25.16,
"AUS","TAXREV","TOT","PC_GDP","A","2011",25.792,
"AUS","TAXREV","TOT","PC_GDP","A","2012",26.821,
"AUS","TAXREV","TOT","PC_GDP","A","2013",26.974,
"AUS","TAXREV","TOT","PC_GDP","A","2014",27.176,
"AUS","TAXREV","TOT","PC_GDP","A","2015",27.793,
"AUS","TAXREV","TOT","PC_GDP","A","2016",27.512,
"AUS","TAXREV","TOT","PC_GDP","A","2017",28.542,
"AUS","TAXREV","TOT","PC_GDP","A","2018",28.627,
"AUS","TAXREV","TOT","PC_GDP","A","2019",27.711,
"AUS","TAXREV","TOT","PC_GDP","A","2020",28.549,
"AUT","TAXREV","TOT","PC_GDP","A","1965",33.509,
"AUT","TAXREV","TOT","PC_GDP","A","1966",34.201,
"AUT","TAXREV","TOT","PC_GDP","A","1967",34.101,
