LOCATION,TIME,Value
AFG,1987,L
ALB,1987,
DZA,1987,UM
ASM,1987,H
AND,1987,
AGO,1987,
ATG,1987,UM
ARG,1987,UM
ARM,1987,
ABW,1987,H
AUS,1987,H
AUT,1987,H
AZE,1987,
BHS,1987,H
BHR,1987,H
BGD,1987,L
BRB,1987,UM
BLR,1987,
BEL,1987,H
BLZ,1987,LM
BEN,1987,L
BMU,1987,H
BTN,1987,L
BOL,1987,LM
BIH,1987,
BWA,1987,LM
BRA,1987,UM
VGB,1987,
BRN,1987,H
BGR,1987,
BFA,1987,L
BDI,1987,L
CPV,1987,
KHM,1987,L
CMR,1987,LM
CAN,1987,H
CYM,1987,
CAF,1987,L
TCD,1987,L
CHI,1987,H
CHL,1987,LM
CHN,1987,L
COL,1987,LM
COM,1987,L
COD,1987,L
COG,1987,LM
CRI,1987,LM
CIV,1987,LM
HRV,1987,
CUB,1987,
CUW,1987,
CYP,1987,UM
CZE,1987,
DNK,1987,H
DJI,1987,
DMA,1987,LM
DOM,1987,LM
ECU,1987,LM
EGY,1987,LM
SLV,1987,LM
GNQ,1987,L
ERI,1987,
EST,1987,
SWZ,1987,LM
ETH,1987,L
FRO,1987,H
FJI,1987,LM
FIN,1987,H
FRA,1987,H
PYF,1987,
GAB,1987,UM
GMB,1987,L
GEO,1987,
DEU,1987,H
GHA,1987,L
GIB,1987,UM
GRC,1987,UM
GRL,1987,H
GRD,1987,LM
GUM,1987,H
GTM,1987,LM
GIN,1987,L
GNB,1987,L
GUY,1987,L
HTI,1987,L
HND,1987,LM
HKG,1987,H
HUN,1987,UM
ISL,1987,H
IND,1987,L
IDN,1987,L
IRN,1987,UM
IRQ,1987,UM
IRL,1987,H
IMN,1987,H
ISR,1987,H
ITA,1987,H
JAM,1987,LM
JPN,1987,H
JOR,1987,LM
KAZ,1987,
KEN,1987,L
KIR,1987,LM
PRK,1987,
KOR,1987,UM
XKX,1987,
KWT,1987,H
KGZ,1987,
LAO,1987,L
LVA,1987,
LBN,1987,LM
LSO,1987,L
LBR,1987,L
LBY,1987,UM
LIE,1987,
LTU,1987,
LUX,1987,H
MAC,1987,UM
MDG,1987,L
MWI,1987,L
MYS,1987,LM
MDV,1987,L
MLI,1987,L
MLT,1987,UM
MHL,1987,
MRT,1987,L
MUS,1987,LM
MEX,1987,LM
FSM,1987,
MDA,1987,
MCO,1987,
MNG,1987,
MNE,1987,
MAR,1987,LM
MOZ,1987,L
MMR,1987,L
NAM,1987,
NRU,1987,
NPL,1987,L
NLD,1987,H
NCL,1987,UM
NZL,1987,H
NIC,1987,LM
NER,1987,L
NGA,1987,L
MKD,1987,
MNP,1987,
NOR,1987,H
OMN,1987,UM
PAK,1987,L
PLW,1987,
PAN,1987,UM
PNG,1987,LM
PRY,1987,LM
PER,1987,LM
PHL,1987,LM
POL,1987,LM
PRT,1987,UM
PRI,1987,UM
QAT,1987,H
ROU,1987,UM
RUS,1987,
RWA,1987,L
WSM,1987,LM
SMR,1987,
STP,1987,L
SAU,1987,H
SEN,1987,LM
SRB,1987,
SYC,1987,UM
SLE,1987,L
SGP,1987,H
SXM,1987,
SVK,1987,
SVN,1987,
SLB,1987,L
SOM,1987,L
ZAF,1987,LM
SSD,1987,
ESP,1987,H
LKA,1987,L
KNA,1987,UM
LCA,1987,LM
MAF,1987,
VCT,1987,LM
SDN,1987,L
SUR,1987,UM
SWE,1987,H
CHE,1987,H
SYR,1987,LM
TWN,1987,H
TJK,1987,
TZA,1987,L
THA,1987,LM
TLS,1987,
TGO,1987,L
TON,1987,LM
TTO,1987,UM
TUN,1987,LM
TUR,1987,LM
TKM,1987,
TCA,1987,
TUV,1987,
UGA,1987,L
UKR,1987,
ARE,1987,H
GBR,1987,H
USA,1987,H
URY,1987,UM
UZB,1987,
VUT,1987,LM
VEN,1987,UM
VNM,1987,L
VIR,1987,H
PSE,1987,
YEM,1987,LM
ZMB,1987,L
ZWE,1987,LM
AFG,1988,L
ALB,1988,
DZA,1988,UM
ASM,1988,H
AND,1988,
AGO,1988,LM
ATG,1988,UM
ARG,1988,UM
ARM,1988,
ABW,1988,H
AUS,1988,H
AUT,1988,H
AZE,1988,
BHS,1988,H
BHR,1988,H
BGD,1988,L
BRB,1988,UM
