LOCATION,TIME,Value
ABW,1970,
AFE,1970,
AFG,1970,
AFW,1970,
AGO,1970,
ALB,1970,
AND,1970,
ARB,1970,
ARE,1970,
ARG,1970,0.27847142284724735
ARM,1970,
ASM,1970,
ATG,1970,
AUS,1970,1.8914688137064322
AUT,1970,0.6765105210833063
AZE,1970,
BDI,1970,
BEL,1970,0.524222917238753
BEN,1970,
BFA,1970,
BGD,1970,
BGR,1970,
BHR,1970,
BHS,1970,
BIH,1970,
BLR,1970,
BLZ,1970,
BMU,1970,
BOL,1970,
BRA,1970,0.8923242086255493
BRB,1970,
BRN,1970,
BTN,1970,
BWA,1970,
CAF,1970,
CAN,1970,1.0204825112073699
CEB,1970,
CHE,1970,
CHI,1970,
CHL,1970,
CHN,1970,
CIV,1970,
CMR,1970,
COD,1970,
COG,1970,
COL,1970,0.5417900397656521
COM,1970,
CPV,1970,
CRI,1970,
CSS,1970,
CUB,1970,
CUW,1970,
CYM,1970,
CYP,1970,
CZE,1970,
DEU,1970,
DJI,1970,
DMA,1970,
DNK,1970,0.439226881978261
DOM,1970,4.8199259508583
DZA,1970,1.6062547733069528
EAP,1970,
EAR,1970,
EAS,1970,
ECA,1970,
ECS,1970,0.025741070378229036
ECU,1970,
EGY,1970,
EMU,1970,
ERI,1970,
ESP,1970,0.436659970718588
EST,1970,
ETH,1970,
EUU,1970,
FCS,1970,
FIN,1970,-0.299361207535881
FJI,1970,
FRA,1970,0.172629719484208
FRO,1970,
FSM,1970,
GAB,1970,
GBR,1970,-0.14509606234156003
GEO,1970,
GHA,1970,
GIB,1970,
GIN,1970,
GMB,1970,
GNB,1970,
GNQ,1970,
GRC,1970,
GRD,1970,
GRL,1970,
GTM,1970,
GUM,1970,
GUY,1970,
HIC,1970,-0.15576944013833005
HKG,1970,
HND,1970,
HPC,1970,
HRV,1970,
HTI,1970,
HUN,1970,
IBD,1970,
IBT,1970,
IDA,1970,
IDB,1970,
IDN,1970,
IDX,1970,
IMN,1970,
IND,1970,
INX,1970,
IRL,1970,
IRN,1970,
IRQ,1970,
ISL,1970,
ISR,1970,
ITA,1970,0.44968347683509896
JAM,1970,11.468019937185204
JOR,1970,
JPN,1970,-0.12276045196075491
KAZ,1970,
KEN,1970,
KGZ,1970,
KHM,1970,
KIR,1970,
KNA,1970,
KOR,1970,
KWT,1970,
LAC,1970,
LAO,1970,
LBN,1970,
LBR,1970,
LBY,1970,
LCA,1970,
LCN,1970,
LDC,1970,
LIC,1970,
LIE,1970,
LKA,1970,
LMC,1970,
LMY,1970,
LSO,1970,
LTE,1970,
LTU,1970,
LUX,1970,
LVA,1970,
MAC,1970,
MAF,1970,
MAR,1970,
MCO,1970,
MDA,1970,
MDG,1970,
MDV,1970,
MEA,1970,
MEX,1970,
MHL,1970,
MIC,1970,
MKD,1970,
MLI,1970,
MLT,1970,
MMR,1970,
MNA,1970,
MNE,1970,
MNG,1970,
MNP,1970,
MOZ,1970,
MRT,1970,
MUS,1970,
MWI,1970,
MYS,1970,
NAC,1970,-0.376596548933615
NAM,1970,
NCL,1970,
NER,1970,
NGA,1970,
NIC,1970,
NLD,1970,-1.79289721936969
NOR,1970,0.249724461925052
NPL,1970,
NRU,1970,
NZL,1970,
OED,1970,-0.16646097293760004
OMN,1970,
OSS,1970,
PAK,1970,
PAN,1970,
PER,1970,
PHL,1970,
PLW,1970,
PNG,1970,
POL,1970,
PRE,1970,
PRI,1970,
PRK,1970,
PRT,1970,
PRY,1970,
PSE,1970,
PSS,1970,
PST,1970,-0.17040342775982703
PYF,1970,
QAT,1970,
ROU,1970,
RUS,1970,
RWA,1970,
SAS,1970,
SAU,1970,
SDN,1970,
SEN,1970,
SGP,1970,
SLB,1970,
SLE,1970,
SLV,1970,
SMR,1970,
SOM,1970,
SRB,1970,
SSA,1970,
SSD,1970,
SSF,1970,
SST,1970,
STP,1970,
SUR,1970,
SVK,1970,
SVN,1970,
SWE,1970,-0.27402786143329394
SWZ,1970,
SXM,1970,
SYC,1970,
SYR,1970,
TCA,1970,
TCD,1970,
TEA,1970,
TEC,1970,
TGO,1970,
THA,1970,
TJK,1970,
TKM,1970,
TLA,1970,
TLS,1970,
TMN,1970,
TON,1970,
TSA,1970,
TSS,1970,
TTO,1970,
TUN,1970,
TUR,1970,
TUV,1970,
TZA,1970,
UGA,1970,
UKR,1970,
UMC,1970,
URY,1970,
USA,1970,-0.491007665123456
UZB,1970,
VCT,1970,
VEN,1970,-0.198942815953868
VGB,1970,
VIR,1970,
VNM,1970,
VUT,1970,
WLD,1970,-0.07903075751997402
WSM,1970,
XKX,1970,
YEM,1970,
ZAF,1970,1.497756663398623
ZMB,1970,
ZWE,1970,
ABW,1971,
AFE,1971,
AFG,1971,
AFW,1971,
AGO,1971,
ALB,1971,
AND,1971,
ARB,1971,
ARE,1971,
ARG,1971,
ARM,1971,
ASM,1971,
ATG,1971,
AUS,1971,2.3237251077905707
AUT,1971,0.596971095990652
AZE,1971,
BDI,1971,
BEL,1971,0.7444253139493311
BEN,1971,
BFA,1971,
BGD,1971,
BGR,1971,
BHR,1971,
BHS,1971,
BIH,1971,
BLR,1971,
BLZ,1971,
BMU,1971,
BOL,1971,
BRA,1971,0.9167209948001092
BRB,1971,
BRN,1971,
BTN,1971,
BWA,1971,
CAF,1971,
CAN,1971,1.8286199214390058
CEB,1971,
CHE,1971,
CHI,1971,
CHL,1971,
CHN,1971,
CIV,1971,
CMR,1971,
COD,1971,
COG,1971,
COL,1971,0.5130082556168448
COM,1971,
CPV,1971,
CRI,1971,
CSS,1971,
CUB,1971,
CUW,1971,
CYM,1971,
CYP,1971,
CZE,1971,
DEU,1971,-0.03877546496891099
DJI,1971,
DMA,1971,
DNK,1971,0.38248468992072193
DOM,1971,3.9003900390039
DZA,1971,-0.007878323443184902
EAP,1971,
EAR,1971,
EAS,1971,0.487653356581648
ECA,1971,
ECS,1971,-0.013992452557471058
ECU,1971,
EGY,1971,
EMU,1971,0.017763411459851053
ERI,1971,
ESP,1971,0.3796701002198568
EST,1971,
ETH,1971,
EUU,1971,0.01444669689020095
FCS,1971,
FIN,1971,-0.16763247568161999
FJI,1971,
FRA,1971,0.10771465213370202
FRO,1971,
FSM,1971,
GAB,1971,
GBR,1971,-0.14645533392257004
GEO,1971,
GHA,1971,
GIB,1971,
GIN,1971,
