LOCATION,TIME,Value
AFG,1960,11111037.78
AUS,1960,32478441.03
BDI,1960,-2107986.0
BEN,1960,-713322.9824
BFA,1960,4451866.289
BHS,1960,-20196274.51
BLZ,1960,-141257.1749
BRA,1960,0.0
BWA,1960,3793915.604
CAF,1960,-407862.5552
CHL,1960,-71818181.82
CIV,1960,10258412.99
COG,1960,-2176293.886
CRI,1960,-4755637.564
DOM,1960,-10099500.0
DZA,1960,497917947.8
ECU,1960,-25955602.81
FJI,1960,-4281576.628
GAB,1960,-6675043.261
GHA,1960,-14005602.24
GRC,1960,74261916.1
GTM,1960,-10399900.0
GUY,1960,-13941200.49
HKG,1960,5980492.966
HND,1960,8500050.0
IND,1960,-151200151.2
IRN,1960,-106059265.7
JAM,1960,-15764104.72
KEN,1960,-26305877.46
KHM,1960,461091.4286
KOR,1960,36435759.0
LKA,1960,-3441260.504
MAR,1960,19761051.28
MDG,1960,-22288333.52
MEX,1960,-373832000.0
MWI,1960,-2239955.201
MYS,1960,-81667320.01
NER,1960,1223879.671
NGA,1960,-22388072.24
NIC,1960,-5714988.714
NPL,1960,0.0
PAK,1960,-5459457.371
PAN,1960,-60177500.0
PER,1960,-138291646.7
PHL,1960,-94883870.97
PNG,1960,-2463776.353
PRI,1960,-15500000.0
SDN,1960,7000000.0
SGP,1960,12870769.63
SOM,1960,-280128.9854
SUR,1960,-21000000.0
SWZ,1960,-5318773.625
TCD,1960,-2121175.749
TGO,1960,-475367.5746
THA,1960,-7053106.913
TTO,1960,-51974158.55
UGA,1960,-1223270.44
URY,1960,-8567511.995
VCT,1960,0.0
VEN,1960,-533363636.4
ZAF,1960,-330399868.0
ZMB,1960,-74000000.0
ZWE,1960,-190998959.6
AFG,1961,11111128.89
AUS,1961,-21278978.61
BDI,1961,-2179994.0
BEN,1961,-726043.4942
BFA,1961,3190155.676
BHS,1961,-22647254.9
BLZ,1961,-208945.8211
BRA,1961,0.0
BWA,1961,4046592.976
CAF,1961,-407696.156
CHL,1961,-73818181.82
CIV,1961,-7461176.93
COG,1961,-2829104.675
CRI,1961,-5304174.618
DOM,1961,-18600100.0
DZA,1961,537376719.1
ECU,1961,-27809693.65
FJI,1961,-4407505.352
GAB,1961,-8606472.883
GHA,1961,-19607843.14
GRC,1961,91136991.24
GTM,1961,-12399900.0
GUY,1961,-12774601.88
HKG,1961,141020286.6
HND,1961,-1000000.0
IND,1961,-205800205.8
IRN,1961,-113305260.0
JAM,1961,-19088338.23
KEN,1961,-22651878.92
KHM,1961,465245.7143
KOR,1961,30450865.13
LKA,1961,-37301071.43
MAR,1961,15808714.55
MDG,1961,-23097608.68
MEX,1961,-384656000.0
MMR,1961,-1366681.901
MWI,1961,-3079938.401
MYS,1961,-61740493.92
NER,1961,1632119.941
NGA,1961,-21139857.2
NIC,1961,-6503376.333
NPL,1961,0.0
PAK,1961,-5459463.251
PAN,1961,-63174500.0
PER,1961,-145203524.2
PHL,1961,-52357326.73
PNG,1961,-2799776.401
PRI,1961,-31200000.0
SDN,1961,-666666.6667
SGP,1961,14569449.89
SOM,1961,-294149.6823
SUR,1961,-25250000.0
SWZ,1961,-6448271.035
TCD,1961,-3084695.798
TGO,1961,-1216257.353
THA,1961,-7270272.195
TTO,1961,-66673861.05
UGA,1961,-1097484.277
URY,1961,-8791981.713
VCT,1961,0.0
VEN,1961,-593151515.2
ZAF,1961,-372399851.2
ZMB,1961,-65714285.71
ZWE,1961,-235173994.8
AFG,1962,11111128.89
ARG,1962,632802749.3
AUS,1962,58237204.61
BDI,1962,-2288006.0
BEN,1962,-727508.5209
BFA,1962,8493786.271
BHS,1962,-25196372.55
BLZ,1962,-155466.8907
BRA,1962,0.0
BWA,1962,4334361.419
CAF,1962,-408155.6189
CHL,1962,-86727272.73
CIV,1962,-16646737.59
COG,1962,-3119303.655
CRI,1962,-9546157.201
DOM,1962,-21599700.0
DZA,1962,201669785.9
ECU,1962,-23854334.35
FJI,1962,-4785291.525
GAB,1962,-11456466.2
GHA,1962,-14005602.24
GNQ,1962,0.0
GRC,1962,93590391.14
GTM,1962,-11900000.0
GUY,1962,-20940792.16
HKG,1962,109810702.0
HND,1962,-4300050.0
IND,1962,-226800226.8
IRN,1962,-128264096.3
JAM,1962,-33553968.92
KEN,1962,-23085864.75
KHM,1962,477594.2857
KOR,1962,32307816.57
LKA,1962,4611028.807
MAR,1962,13832961.17
MDG,1962,-24720805.48
MEX,1962,-385696000.0
MMR,1962,-765070.7378
MWI,1962,-1959960.801
MYS,1962,-46387037.76
NER,1962,1637136.913
NGA,1962,-34984460.31
NIC,1962,-7447677.524
NPL,1962,0.0
PAK,1962,-5250085.258
PAN,1962,-66136400.0
PER,1962,-138653629.1
PHL,1962,-14518495.67
PNG,1962,-2127776.304
PRI,1962,-47000000.0
SDN,1962,-5666666.667
SGP,1962,16039461.65
SOM,1962,-196108.9641
SUR,1962,-32250000.0
SWZ,1962,-6994540.109
TCD,1962,-3440128.375
TGO,1962,122237.9628
THA,1962,-7509334.291
TTO,1962,-66265472.79
UGA,1962,-4395178.197
URY,1962,0.0
VCT,1962,0.0
VEN,1962,-644515151.5
ZAF,1962,-323399870.8
ZMB,1962,-70000000.0
ZWE,1962,-268565817.7
AFG,1963,15555515.56
ARG,1963,472828283.3
AUS,1963,-61597043.34
