LOCATION,MEASURE,TIME,Value
AUS,MLN_USD,1960,25071.833
AUS,MLN_USD,1961,25363.455
AUS,MLN_USD,1962,27953.904
AUS,MLN_USD,1963,30431.547
AUS,MLN_USD,1964,32742.466
AUS,MLN_USD,1965,34538.087
AUS,MLN_USD,1966,38340.322
AUS,MLN_USD,1967,41063.061
AUS,MLN_USD,1968,46555.241
AUS,MLN_USD,1969,52208.329
AUS,MLN_USD,1970,58911.123
AUS,MLN_USD,1971,64192.384
AUS,MLN_USD,1972,69871.924
AUS,MLN_USD,1973,78914.75
AUS,MLN_USD,1974,86394.431
AUS,MLN_USD,1975,96933.513
AUS,MLN_USD,1976,104370.768
AUS,MLN_USD,1977,110361.996
AUS,MLN_USD,1978,123440.344
AUS,MLN_USD,1979,138091.009
AUS,MLN_USD,1980,155157.89
AUS,MLN_USD,1981,178430.317
AUS,MLN_USD,1982,182041.004
AUS,MLN_USD,1983,196746.258
AUS,MLN_USD,1984,212020.678
AUS,MLN_USD,1985,229153.081
AUS,MLN_USD,1986,240014.679
AUS,MLN_USD,1987,261085.322
AUS,MLN_USD,1988,283190.956
AUS,MLN_USD,1989,299886.891
AUS,MLN_USD,1990,304408.929
AUS,MLN_USD,1991,314181.011
AUS,MLN_USD,1992,334849.617
AUS,MLN_USD,1993,355957.486
AUS,MLN_USD,1994,381621.283
AUS,MLN_USD,1995,404071.671
AUS,MLN_USD,1996,424444.69
AUS,MLN_USD,1997,450947.394
AUS,MLN_USD,1998,478369.09
AUS,MLN_USD,1999,510551.679
AUS,MLN_USD,2000,538759.74
AUS,MLN_USD,2001,569498.285
AUS,MLN_USD,2002,600598.648
AUS,MLN_USD,2003,638782.783
AUS,MLN_USD,2004,677715.264
AUS,MLN_USD,2005,719487.043
AUS,MLN_USD,2006,775886.237
AUS,MLN_USD,2007,826594.305
AUS,MLN_USD,2008,852737.657
AUS,MLN_USD,2009,903956.56
AUS,MLN_USD,2010,943323.0
AUS,MLN_USD,2011,992802.546
AUS,MLN_USD,2012,997651.363
AUS,MLN_USD,2013,1104672.434
AUS,MLN_USD,2014,1117601.897
AUS,MLN_USD,2015,1124752.51
AUS,MLN_USD,2016,1212854.276
AUS,MLN_USD,2017,1247085.553
AUS,MLN_USD,2018,1323863.624
AUS,MLN_USD,2019,1337588.806
AUS,MLN_USD,2020,1430866.404
AUS,MLN_USD,2021,1595112.956
AUT,MLN_USD,1970,28594.177
AUT,MLN_USD,1971,31579.835
AUT,MLN_USD,1972,34990.129
AUT,MLN_USD,1973,38711.33
AUT,MLN_USD,1974,43858.904
AUT,MLN_USD,1975,47747.762
AUT,MLN_USD,1976,52681.195
AUT,MLN_USD,1977,58796.949
AUT,MLN_USD,1978,62800.056
AUT,MLN_USD,1979,71653.406
AUT,MLN_USD,1980,79478.652
AUT,MLN_USD,1981,86873.502
AUT,MLN_USD,1982,94095.976
AUT,MLN_USD,1983,100688.645
AUT,MLN_USD,1984,104374.685
AUT,MLN_USD,1985,110365.942
AUT,MLN_USD,1986,115179.71
AUT,MLN_USD,1987,119629.722
AUT,MLN_USD,1988,127931.5
AUT,MLN_USD,1989,138114.602
AUT,MLN_USD,1990,149511.327
AUT,MLN_USD,1991,159887.079
AUT,MLN_USD,1992,166954.321
AUT,MLN_USD,1993,171812.082
AUT,MLN_USD,1994,179696.263
AUT,MLN_USD,1995,188359.111
AUT,MLN_USD,1996,195478.33
AUT,MLN_USD,1997,202600.685
AUT,MLN_USD,1998,212786.029
AUT,MLN_USD,1999,220639.939
AUT,MLN_USD,2000,235393.211
AUT,MLN_USD,2001,238924.377
AUT,MLN_USD,2002,251984.784
AUT,MLN_USD,2003,261070.253
AUT,MLN_USD,2004,276000.045
AUT,MLN_USD,2005,288086.722
AUT,MLN_USD,2006,311394.8
AUT,MLN_USD,2007,327137.69
AUT,MLN_USD,2008,343812.976
AUT,MLN_USD,2009,341396.516
AUT,MLN_USD,2010,351323.808
AUT,MLN_USD,2011,373031.477
AUT,MLN_USD,2012,391635.176
AUT,MLN_USD,2013,406370.245
AUT,MLN_USD,2014,417059.519
AUT,MLN_USD,2015,430975.924
AUT,MLN_USD,2016,460282.647
AUT,MLN_USD,2017,476590.588
AUT,MLN_USD,2018,503361.417
AUT,MLN_USD,2019,530169.037
AUT,MLN_USD,2020,510568.008
AUT,MLN_USD,2021,537014.574
AUT,MLN_USD,2022,622665.496
BEL,MLN_USD,1970,37310.383
BEL,MLN_USD,1971,40672.958
BEL,MLN_USD,1972,44661.179
BEL,MLN_USD,1973,49992.7
BEL,MLN_USD,1974,56779.829
BEL,MLN_USD,1975,61215.864
BEL,MLN_USD,1976,68235.627
