,LOCATION,MEASURE,TIME,Value
0,AUS,THND_USD_CAP,2007,13737.93
1,AUS,THND_USD_CAP,2008,14835.57
2,AUS,THND_USD_CAP,2009,15963.85
3,AUS,THND_USD_CAP,2010,15802.56
4,AUS,THND_USD_CAP,2011,16535.76
5,AUS,THND_USD_CAP,2012,15949.44
6,AUS,THND_USD_CAP,2013,17487.45
7,AUS,THND_USD_CAP,2014,17509.31
8,AUS,THND_USD_CAP,2015,17721.53
9,AUS,THND_USD_CAP,2016,18461.27
10,AUS,THND_USD_CAP,2017,18752.45
11,AUS,THND_USD_CAP,2018,19518.12
12,AUS,THND_USD_CAP,2019,22013.16
13,AUS,THND_USD_CAP,2020,24764.9
14,AUS,THND_USD_CAP,2021,24768.29
15,AUT,THND_USD_CAP,2007,19417.96
16,AUT,THND_USD_CAP,2008,20605.94
17,AUT,THND_USD_CAP,2009,22159.93
18,AUT,THND_USD_CAP,2010,22203.9
19,AUT,THND_USD_CAP,2011,22633.45
20,AUT,THND_USD_CAP,2012,23802.61
21,AUT,THND_USD_CAP,2013,24758.19
22,AUT,THND_USD_CAP,2014,25593.4
23,AUT,THND_USD_CAP,2015,25536.12
24,AUT,THND_USD_CAP,2016,26370.11
25,AUT,THND_USD_CAP,2017,26714.25
26,AUT,THND_USD_CAP,2018,27770.44
27,AUT,THND_USD_CAP,2019,28223.98
28,AUT,THND_USD_CAP,2020,31740.3
29,AUT,THND_USD_CAP,2021,32935.95
30,BEL,THND_USD_CAP,2007,17866.38
31,BEL,THND_USD_CAP,2008,19235.34
32,BEL,THND_USD_CAP,2009,20642.65
33,BEL,THND_USD_CAP,2010,21464.33
34,BEL,THND_USD_CAP,2011,22643.49
35,BEL,THND_USD_CAP,2012,23884.65
36,BEL,THND_USD_CAP,2013,24507.5
37,BEL,THND_USD_CAP,2014,24980.98
38,BEL,THND_USD_CAP,2015,24819.41
39,BEL,THND_USD_CAP,2016,25814.76
40,BEL,THND_USD_CAP,2017,26245.61
41,BEL,THND_USD_CAP,2018,27455.28
42,BEL,THND_USD_CAP,2019,28169.97
43,BEL,THND_USD_CAP,2020,31471.63
44,BEL,THND_USD_CAP,2021,32381.42
45,CAN,THND_USD_CAP,2007,15570.27
46,CAN,THND_USD_CAP,2008,15983.17
47,CAN,THND_USD_CAP,2009,17211.2
48,CAN,THND_USD_CAP,2010,17605.1
49,CAN,THND_USD_CAP,2011,17659.81
50,CAN,THND_USD_CAP,2012,17645.37
51,CAN,THND_USD_CAP,2013,18061.3
52,CAN,THND_USD_CAP,2014,17916.24
53,CAN,THND_USD_CAP,2015,18239.95
54,CAN,THND_USD_CAP,2016,19315.91
55,CAN,THND_USD_CAP,2017,19936.85
