,LOCATION,TIME,Value
0,AUS,1970,30476.5102571076
1,AUS,1971,32799.8440165411
2,AUS,1972,35590.1835647659
3,AUS,1973,41114.4566235354
4,AUS,1974,48461.8518724997
5,AUS,1975,52423.9613999894
6,AUS,1976,56900.9851313886
7,AUS,1977,61232.6799417557
8,AUS,1978,66856.7770247782
9,AUS,1979,74341.2277685107
10,AUS,1980,84610.8201737215
11,AUS,1981,97471.7261185984
12,AUS,1982,105755.748305925
13,AUS,1983,109590.118116318
14,AUS,1984,113898.977822034
15,AUS,1985,124529.775229599
16,AUS,1986,130248.949812747
17,AUS,1987,137662.806790215
18,AUS,1988,149366.901166335
19,AUS,1989,162749.855492224
20,AUS,1990,169853.76564642
21,AUS,1991,177805.033538701
22,AUS,1992,185891.95380911
23,AUS,1993,194157.359581188
24,AUS,1994,207909.459783654
25,AUS,1995,219388.82541227
26,AUS,1996,229298.957507831
27,AUS,1997,245206.343554388
28,AUS,1998,259904.750782677
29,AUS,1999,276904.420279827
30,AUS,2000,296144.255306775
31,AUS,2001,308322.302540843
32,AUS,2002,325842.256252559
33,AUS,2003,340377.571222691
34,AUS,2004,365384.965378243
35,AUS,2005,382676.631346896
36,AUS,2006,407588.979330053
37,AUS,2007,438388.987210112
38,AUS,2008,444942.230314535
39,AUS,2009,465988.600277404
40,AUS,2010,491893.346534284
41,AUS,2011,526988.163578016
42,AUS,2012,543065.524426951
43,AUS,2013,577621.55310936
44,AUS,2014,595208.682962021
45,AUS,2015,611257.658170229
46,AUS,2016,637321.742774304
47,AUS,2017,650660.331483639
48,AUS,2018,673616.626363316
49,AUS,2019,651798.401538175
50,AUS,2020,669373.015872199
51,AUS,2021,721316.817302946
52,AUT,1970,14480.3556783721
53,AUT,1971,16109.4714808326
54,AUT,1972,17672.0631568244
55,AUT,1973,19624.0311161549
56,AUT,1974,22315.2577086189
57,AUT,1975,24960.4786767006
58,AUT,1976,27526.2341397432
59,AUT,1977,31201.676995447
60,AUT,1978,32803.5029394457
61,AUT,1979,37413.3091507752
62,AUT,1980,42486.5544589381
63,AUT,1981,46883.1592178409
64,AUT,1982,50439.0157502421
65,AUT,1983,55442.1378592209
66,AUT,1984,56311.9371564648
67,AUT,1985,59331.7422700589
68,AUT,1986,61952.0448488131
69,AUT,1987,65406.1170411323
70,AUT,1988,69598.601121927
71,AUT,1989,75244.2089642934
72,AUT,1990,81874.1172244703
73,AUT,1991,87145.5882510616
74,AUT,1992,92581.4842271878
75,AUT,1993,94988.0449482377
76,AUT,1994,98951.2581931439
77,AUT,1995,101895.911449628
78,AUT,1996,107059.76507996
79,AUT,1997,109367.163256742
80,AUT,1998,114393.717836915
81,AUT,1999,117824.550921006
82,AUT,2000,126631.896393989
83,AUT,2001,128934.779074282
84,AUT,2002,133123.6969383
85,AUT,2003,139411.350346679
86,AUT,2004,146063.922160168
87,AUT,2005,154029.882967281
88,AUT,2006,162335.348080522
89,AUT,2007,168215.798723615
90,AUT,2008,174583.583309088
91,AUT,2009,178341.241118696
92,AUT,2010,184797.910584391
93,AUT,2011,194567.048510333
94,AUT,2012,199057.684931164
95,AUT,2013,205604.388327587
96,AUT,2014,210370.528936849
97,AUT,2015,213261.769245235
98,AUT,2016,224616.247193907
99,AUT,2017,231585.925691891
100,AUT,2018,241762.643747646
101,AUT,2019,250651.747661318
102,AUT,2020,235682.174841826
103,AUT,2021,249626.463432142
104,BEL,1970,17870.4906640246
105,BEL,1971,19545.8859100497
106,BEL,1972,21409.2999771168
107,BEL,1973,24400.867225163
108,BEL,1974,27696.6227241681
109,BEL,1975,30262.1482493859
110,BEL,1976,33545.1504064834
