,LOCATION,TIME,Value
0,AUS,1949,3.738101
1,AUS,1950,4.063153
2,AUS,1951,4.852566
3,AUS,1952,5.688414
4,AUS,1953,5.943812
5,AUS,1954,6.036685
6,AUS,1955,6.129557
7,AUS,1956,6.477827
8,AUS,1957,6.663571
9,AUS,1958,6.710007
10,AUS,1959,6.849315
11,AUS,1960,7.104713
12,AUS,1961,7.26724
13,AUS,1962,7.244021
14,AUS,1963,7.290457
15,AUS,1964,7.49942
16,AUS,1965,7.754818
17,AUS,1966,8.010216
18,AUS,1967,8.288832
19,AUS,1968,8.497794
20,AUS,1969,8.77641
21,AUS,1970,9.078245
22,AUS,1971,9.635477
23,AUS,1972,10.21593
24,AUS,1973,11.14465
25,AUS,1974,12.86278
26,AUS,1975,14.8131
27,AUS,1976,16.78663
28,AUS,1977,18.85303
29,AUS,1978,20.3622
30,AUS,1979,22.21964
31,AUS,1980,24.47179
32,AUS,1981,26.79359
33,AUS,1982,29.83515
34,AUS,1983,32.83028
35,AUS,1984,34.13049
36,AUS,1985,36.42907
37,AUS,1986,39.72603
38,AUS,1987,43.11586
39,AUS,1988,46.22707
40,AUS,1989,49.70977
41,AUS,1990,53.355
42,AUS,1991,55.04992
43,AUS,1992,55.60715
44,AUS,1993,56.58231
45,AUS,1994,57.69677
46,AUS,1995,60.36684
47,AUS,1996,61.94567
48,AUS,1997,62.08498
49,AUS,1998,62.61899
50,AUS,1999,63.54771
51,AUS,2000,66.38031
52,AUS,2001,69.30578
53,AUS,2002,71.37218
54,AUS,2003,73.32249
55,AUS,2004,75.04063
56,AUS,2005,77.0606
57,AUS,2006,79.80032
58,AUS,2007,81.65777
59,AUS,2008,85.21012
60,AUS,2009,86.71929
61,AUS,2010,89.25006
62,AUS,2011,92.19875
63,AUS,2012,93.82401
64,AUS,2013,96.12259
65,AUS,2014,98.51405
66,AUS,2015,100.0
67,AUS,2016,101.277
68,AUS,2017,103.2505
69,AUS,2018,105.2241
70,AUS,2019,106.919
71,AUS,2020,107.8245
72,AUS,2021,110.9125
73,AUS,2022,118.2261
74,AUT,1958,15.62764
75,AUT,1959,15.79564
76,AUT,1960,16.10299
77,AUT,1961,16.6734
78,AUT,1962,17.40399
79,AUT,1963,17.87542
80,AUT,1964,18.56694
81,AUT,1965,19.48246
82,AUT,1966,19.88279
83,AUT,1967,20.67307
84,AUT,1968,21.24465
85,AUT,1969,21.89907
86,AUT,1970,22.85668
87,AUT,1971,23.93192
88,AUT,1972,25.45283
89,AUT,1973,27.3697
90,AUT,1974,29.97578
91,AUT,1975,32.50732
92,AUT,1976,34.88643
93,AUT,1977,36.8033
94,AUT,1978,38.11877
95,AUT,1979,39.53198
96,AUT,1980,42.03369
97,AUT,1981,44.89326
98,AUT,1982,47.33367
99,AUT,1983,48.91422
100,AUT,1984,51.68433
101,AUT,1985,53.33281
102,AUT,1986,54.24237
103,AUT,1987,55.00282
104,AUT,1988,56.05652
105,AUT,1989,57.49625
106,AUT,1990,59.3717
107,AUT,1991,61.35319
108,AUT,1992,63.8201
109,AUT,1993,66.13792
110,AUT,1994,68.09123
111,AUT,1995,69.61877
112,AUT,1996,70.91436
113,AUT,1997,71.84048
114,AUT,1998,72.50319
115,AUT,1999,72.91573
116,AUT,2000,74.6255
117,AUT,2001,76.60308
118,AUT,2002,77.98987
119,AUT,2003,79.04707
120,AUT,2004,80.67638
121,AUT,2005,82.53125
122,AUT,2006,83.72098
123,AUT,2007,85.53651
124,AUT,2008,88.28732
125,AUT,2009,88.73433
126,AUT,2010,90.34355
127,AUT,2011,93.31277
128,AUT,2012,95.63223
129,AUT,2013,97.54502
130,AUT,2014,99.1114
131,AUT,2015,100.0
132,AUT,2016,100.8916
133,AUT,2017,102.9914
134,AUT,2018,105.0496
135,AUT,2019,106.6578
136,AUT,2020,108.1317
137,AUT,2021,111.1233
138,AUT,2022,120.6209
139,BEL,1955,13.16081
140,BEL,1956,13.5318
141,BEL,1957,13.96044
142,BEL,1958,14.14039
143,BEL,1959,14.31424
144,BEL,1960,14.35711
145,BEL,1961,14.49963
146,BEL,1962,14.70329
147,BEL,1963,15.01912
148,BEL,1964,15.64523
149,BEL,1965,16.28124
150,BEL,1966,16.96087
151,BEL,1967,17.42396
152,BEL,1968,17.89466
153,BEL,1969,18.56642
154,BEL,1970,19.29208
155,BEL,1971,20.13006
156,BEL,1972,21.22683
157,BEL,1973,22.70322
158,BEL,1974,25.5815
159,BEL,1975,28.84781
160,BEL,1976,31.4639
161,BEL,1977,33.69658
162,BEL,1978,35.20301
163,BEL,1979,36.77626
164,BEL,1980,39.22141
165,BEL,1981,42.21301
166,BEL,1982,45.89675
167,BEL,1983,49.41318
168,BEL,1984,52.54686
169,BEL,1985,55.10522
170,BEL,1986,55.81849
171,BEL,1987,56.68556
172,BEL,1988,57.34364
173,BEL,1989,59.12534
174,BEL,1990,61.16417
175,BEL,1991,63.13078
176,BEL,1992,64.66357
177,BEL,1993,66.44468
178,BEL,1994,68.02443
179,BEL,1995,69.023
180,BEL,1996,70.45663
181,BEL,1997,71.60378
182,BEL,1998,72.28348
183,BEL,1999,73.09367
184,BEL,2000,74.95354
185,BEL,2001,76.80434
186,BEL,2002,78.06794
187,BEL,2003,79.30841
188,BEL,2004,80.97173
189,BEL,2005,83.22391
190,BEL,2006,84.71461
191,BEL,2007,86.25901
192,BEL,2008,90.13156
193,BEL,2009,90.08366
194,BEL,2010,92.05586
195,BEL,2011,95.30735
196,BEL,2012,98.01376
197,BEL,2013,99.10474
198,BEL,2014,99.4417
199,BEL,2015,100.0
200,BEL,2016,101.9739
201,BEL,2017,104.1418
202,BEL,2018,106.28
203,BEL,2019,107.807
204,BEL,2020,108.6057
205,BEL,2021,111.2559
206,BEL,2022,121.9337
207,CAN,1914,4.747169
208,CAN,1915,4.845931
209,CAN,1916,5.280485
210,CAN,1917,6.228601
211,CAN,1918,7.045035
212,CAN,1919,7.716619
213,CAN,1920,8.97419
214,CAN,1921,7.887806
215,CAN,1922,7.268897
216,CAN,1923,7.268897
217,CAN,1924,7.13063
218,CAN,1925,7.216223
219,CAN,1926,7.268897
220,CAN,1927,7.16355
221,CAN,1928,7.216223
222,CAN,1929,7.288649
223,CAN,1930,7.216223
224,CAN,1931,6.505136
225,CAN,1932,5.89281
226,CAN,1933,5.636028
227,CAN,1934,5.70187
228,CAN,1935,5.728207
229,CAN,1936,5.846721
230,CAN,1937,6.057414
231,CAN,1938,6.090334
232,CAN,1939,6.044245
233,CAN,1940,6.301027
234,CAN,1941,6.676323
235,CAN,1942,6.985778
236,CAN,1943,7.137214
237,CAN,1944,7.183302
238,CAN,1945,7.229392
239,CAN,1946,7.453253
240,CAN,1947,8.124835
241,CAN,1948,9.283645
242,CAN,1949,9.606268
243,CAN,1950,9.86305
244,CAN,1951,10.90335
245,CAN,1952,11.18646
246,CAN,1953,11.07453
247,CAN,1954,11.14696
248,CAN,1955,11.16671
249,CAN,1956,11.31815
250,CAN,1957,11.69344
251,CAN,1958,11.96998
