LOCATION,MEASURE,TIME,Value
AUS,MLN_USD,1960,7594.023
AUS,MLN_USD,1961,7555.709
AUS,MLN_USD,1962,8263.204
AUS,MLN_USD,1963,9144.787
AUS,MLN_USD,1964,10182.874
AUS,MLN_USD,1965,11145.34
AUS,MLN_USD,1966,12051.79
AUS,MLN_USD,1967,13338.571
AUS,MLN_USD,1968,14610.61
AUS,MLN_USD,1969,16429.956
AUS,MLN_USD,1970,18051.855
AUS,MLN_USD,1971,19303.25
AUS,MLN_USD,1972,20311.818
AUS,MLN_USD,1973,22476.101
AUS,MLN_USD,1974,22330.928
AUS,MLN_USD,1975,25406.538
AUS,MLN_USD,1976,26912.869
AUS,MLN_USD,1977,29046.998
AUS,MLN_USD,1978,32936.205
AUS,MLN_USD,1979,36466.999
AUS,MLN_USD,1980,44059.354
AUS,MLN_USD,1981,51661.348
AUS,MLN_USD,1982,48332.507
AUS,MLN_USD,1983,51225.071
AUS,MLN_USD,1984,57282.641
AUS,MLN_USD,1985,64484.058
AUS,MLN_USD,1986,67043.918
AUS,MLN_USD,1987,72484.821
AUS,MLN_USD,1988,81271.683
AUS,MLN_USD,1989,82948.542
AUS,MLN_USD,1990,74785.917
AUS,MLN_USD,1991,71752.851
AUS,MLN_USD,1992,78640.496
AUS,MLN_USD,1993,85303.897
AUS,MLN_USD,1994,95775.541
AUS,MLN_USD,1995,97585.515
AUS,MLN_USD,1996,102030.12
AUS,MLN_USD,1997,113457.024
AUS,MLN_USD,1998,121467.602
AUS,MLN_USD,1999,132527.854
AUS,MLN_USD,2000,125096.772
AUS,MLN_USD,2001,138436.095
AUS,MLN_USD,2002,156538.412
AUS,MLN_USD,2003,170204.006
AUS,MLN_USD,2004,183159.693
AUS,MLN_USD,2005,200075.516
AUS,MLN_USD,2006,212723.429
AUS,MLN_USD,2007,233290.165
AUS,MLN_USD,2008,235404.924
AUS,MLN_USD,2009,244399.216
AUS,MLN_USD,2010,245482.931
AUS,MLN_USD,2011,272191.873
AUS,MLN_USD,2012,277898.697
AUS,MLN_USD,2013,296971.28
AUS,MLN_USD,2014,293095.41
AUS,MLN_USD,2015,285146.555
AUS,MLN_USD,2016,291105.217
AUS,MLN_USD,2017,304167.769
AUS,MLN_USD,2018,308816.706
AUS,MLN_USD,2019,302775.889
AUS,MLN_USD,2020,321228.087
AUS,MLN_USD,2021,365783.998
AUT,MLN_USD,1970,7783.464
AUT,MLN_USD,1971,9262.663
AUT,MLN_USD,1972,11132.347
AUT,MLN_USD,1973,11622.132
AUT,MLN_USD,1974,13117.914
AUT,MLN_USD,1975,13402.428
AUT,MLN_USD,1976,14441.881
AUT,MLN_USD,1977,16623.178
AUT,MLN_USD,1978,16518.099
AUT,MLN_USD,1979,19042.491
AUT,MLN_USD,1980,21697.418
AUT,MLN_USD,1981,23637.433
AUT,MLN_USD,1982,23095.217
AUT,MLN_USD,1983,23842.925
AUT,MLN_USD,1984,24196.769
AUT,MLN_USD,1985,26279.903
AUT,MLN_USD,1986,27185.992
AUT,MLN_USD,1987,28913.75
AUT,MLN_USD,1988,31874.511
AUT,MLN_USD,1989,34764.376
AUT,MLN_USD,1990,37927.462
