LOCATION,TIME,Value
MEX,2005,43631.5
MEX,2006,44982.52
MEX,2007,45904.54
MEX,2008,46769.21
MEX,2009,48018.36
MEX,2010,48717.79
MEX,2011,49721.7
MEX,2012,51228.77
MEX,2013,51787.09
MEX,2014,51924.05
MEX,2015,52905.13
MEX,2016,53679.95
MEX,2017,53520.09
MEX,2018,54971.52
MEX,2019,56594.99
MEX,2020,53304.76
MEX,2021,57530.66
MEX,2022,59262.41
FRA,1956,18799.0
FRA,1957,18868.0
FRA,1958,18890.0
FRA,1959,18836.0
FRA,1960,18838.0
FRA,1961,18820.0
FRA,1962,18980.0
FRA,1963,19338.0
FRA,1964,19616.0
FRA,1965,19818.0
FRA,1966,19975.0
FRA,1967,20145.0
FRA,1968,20221.0
FRA,1969,20466.0
FRA,1970,20791.0
FRA,1971,20948.0
FRA,1972,21106.0
FRA,1973,21390.0
FRA,1974,21604.0
FRA,1975,21609.0
FRA,1976,21872.0
FRA,1977,22183.0
FRA,1978,22319.0
FRA,1979,22524.0
FRA,1980,22661.0
FRA,1981,22790.0
FRA,1982,22973.0
FRA,1983,23037.0
FRA,1984,23147.0
FRA,1985,23206.09
FRA,1986,23353.58
FRA,1987,23467.53
FRA,1988,23594.38
FRA,1989,23786.0
FRA,1990,24953.46
FRA,1991,25020.35
FRA,1992,25143.29
FRA,1993,25105.2
FRA,1994,25293.89
FRA,1995,25356.76
FRA,1996,25568.49
FRA,1997,25731.05
FRA,1998,26053.51
FRA,1999,26480.29
FRA,2000,26762.81
FRA,2001,27049.8
FRA,2002,27300.03
FRA,2003,26882.13
FRA,2004,27103.13
FRA,2005,27303.18
FRA,2006,27470.8
FRA,2007,27708.25
FRA,2008,27896.93
FRA,2009,28132.05
FRA,2010,28235.57
FRA,2011,28247.8
FRA,2012,28481.6
FRA,2013,28625.07
FRA,2014,29402.2
FRA,2015,29495.85
FRA,2016,29549.18
FRA,2017,29586.97
FRA,2018,29699.8
FRA,2019,29625.03
FRA,2020,29345.8
FRA,2021,30092.88
FRA,2022,30575.5
FIN,1959,2071.0
FIN,1960,2118.0
FIN,1961,2137.0
FIN,1962,2150.0
FIN,1963,2147.0
FIN,1964,2175.0
FIN,1965,2174.0
FIN,1966,2181.0
FIN,1967,2166.0
FIN,1968,2147.0
FIN,1969,2147.0
FIN,1970,2156.0
FIN,1971,2162.0
FIN,1972,2163.0
FIN,1973,2205.0
FIN,1974,2258.0
FIN,1975,2262.0
FIN,1976,2360.0
FIN,1977,2361.0
FIN,1978,2362.0
FIN,1979,2389.0
FIN,1980,2432.0
FIN,1981,2464.0
FIN,1982,2502.0
FIN,1983,2518.0
FIN,1984,2536.0
FIN,1985,2556.0
FIN,1986,2559.0
FIN,1987,2544.0
FIN,1988,2536.0
FIN,1989,2575.0
FIN,1990,2574.0
FIN,1991,2534.0
FIN,1992,2489.0
FIN,1993,2466.0
FIN,1994,2454.0
FIN,1995,2473.0
FIN,1996,2481.0
FIN,1997,2476.0
FIN,1998,2487.375
FIN,1999,2557.25
FIN,2000,2589.25
FIN,2001,2604.725
FIN,2002,2609.55
FIN,2003,2599.675
FIN,2004,2593.45
FIN,2005,2620.5
FIN,2006,2647.85
FIN,2007,2674.975
FIN,2008,2703.05
FIN,2009,2678.225
FIN,2010,2671.75
FIN,2011,2682.375
FIN,2012,2690.075
FIN,2013,2675.975
FIN,2014,2679.325
FIN,2015,2688.925
FIN,2016,2684.875
FIN,2017,2707.075
FIN,2018,2741.725
FIN,2019,2749.65
FIN,2020,2740.875
FIN,2021,2785.225
FIN,2022,2830.375
OECD,2007,602923.7
OECD,2008,609487.8
OECD,2009,613941.7
OECD,2010,616798.6
OECD,2011,620793.1
OECD,2012,627861.7
OECD,2013,631944.9
OECD,2014,636838.3
OECD,2015,642370.5
OECD,2016,649479.2
OECD,2017,654732.1
OECD,2018,662233.1
OECD,2019,669090.9
OECD,2020,656870.6
OECD,2021,666455.4
OECD,2022,678957.1
LUX,1998,175.4
LUX,1999,180.4
LUX,2000,185.2
LUX,2001,188.7
LUX,2002,193.3
LUX,2003,194.2
LUX,2004,198.5
LUX,2005,202.7
LUX,2006,205.0
LUX,2007,211.475
LUX,2008,213.15
LUX,2009,228.9
LUX,2010,230.9
LUX,2011,236.325
LUX,2012,248.85
LUX,2013,253.525
LUX,2014,260.9
LUX,2015,275.875
LUX,2016,277.975
LUX,2017,287.7
LUX,2018,296.475
LUX,2019,306.275
LUX,2020,313.625
LUX,2021,323.85
LUX,2022,327.0
CHE,2005,4159.0
CHE,2006,4220.2
CHE,2007,4278.3
CHE,2008,4375.4
CHE,2009,4451.2
CHE,2010,4419.775
CHE,2011,4495.725
CHE,2012,4555.425
CHE,2013,4611.275
CHE,2014,4694.95
CHE,2015,4766.825
CHE,2016,4842.075
CHE,2017,4869.85
CHE,2018,4906.4
CHE,2019,4922.05
CHE,2020,4933.775
CHE,2021,4935.925
CHE,2022,4924.225
TUR,2006,22383.68
TUR,2007,22768.32
TUR,2008,23471.22
TUR,2009,24323.55
TUR,2010,25287.97
TUR,2011,26422.82
TUR,2012,27021.2
TUR,2013,27960.32
TUR,2014,28772.13
TUR,2015,29652.15
TUR,2016,30523.1
TUR,2017,31616.82
TUR,2018,32244.65
TUR,2019,32523.57
TUR,2020,30849.32
TUR,2021,32742.75
TUR,2022,34316.5
POL,1955,11467.0
POL,1956,11711.0
POL,1957,11931.0
POL,1958,12010.0
POL,1959,12198.0
POL,1960,12401.0
POL,1961,12570.0
POL,1962,12813.0
POL,1963,13055.0
POL,1964,13177.0
POL,1965,13521.0
POL,1966,13828.0
POL,1967,14402.0
POL,1968,14730.0
POL,1969,15036.0
POL,1970,15175.0
POL,1971,15450.0
POL,1972,15829.0
POL,1973,16167.0
POL,1974,16454.0
POL,1975,16572.0
POL,1976,16548.0
POL,1977,16639.0
POL,1978,17109.0
POL,1979,17229.0
POL,1980,17334.0
POL,1981,17420.0
POL,1982,16996.0
POL,1983,16951.0
POL,1984,16998.0
POL,1985,17144.0
POL,1986,17193.0
POL,1987,17138.0
POL,1988,17023.0
POL,1989,17002.0
POL,1990,17406.0
POL,1991,17482.0
POL,1992,17516.0
POL,1993,17321.0
POL,1994,17135.0
POL,1995,17068.0
POL,1996,17078.0
POL,1997,17102.8
POL,1998,17162.0
POL,1999,17148.0
POL,2000,17313.35
POL,2001,17375.32
POL,2002,17212.53
POL,2003,16939.32
POL,2004,17023.45
POL,2005,17160.82
POL,2006,16937.7
POL,2007,16859.15
POL,2008,17010.13
POL,2009,17279.2
POL,2010,17123.0
