LOCATION,TIME,Value
PRT,1994,10.47833
PRT,1995,11.465
PRT,1996,8.559167
PRT,1997,6.358333
PRT,1998,4.8775
PRT,1999,4.7775
PRT,2000,5.595
PRT,2001,5.158333
PRT,2002,5.005833
PRT,2003,4.178333
PRT,2004,4.143333
PRT,2005,3.4375
PRT,2006,3.915
PRT,2007,4.423333
PRT,2008,4.519166
PRT,2009,4.210834
PRT,2010,5.395833
PRT,2011,10.23917
PRT,2012,10.5475
PRT,2013,6.294167
PRT,2014,3.754167
PRT,2015,2.423333
PRT,2016,3.171667
PRT,2017,3.0525
PRT,2018,1.839167
PRT,2019,0.7575
PRT,2020,0.4166667
PRT,2021,0.295
PRT,2022,2.17
NOR,1985,12.91167
NOR,1986,13.29917
NOR,1987,13.305
NOR,1988,12.89583
NOR,1989,10.82583
NOR,1990,10.68
NOR,1991,9.996667
NOR,1992,9.606667
NOR,1993,6.880833
NOR,1994,7.435833
NOR,1995,7.424167
NOR,1996,6.773334
NOR,1997,5.888333
NOR,1998,5.4
NOR,1999,5.4975
NOR,2000,6.218333
NOR,2001,6.236667
NOR,2002,6.384167
NOR,2003,5.045
NOR,2004,4.368333
NOR,2005,3.745833
NOR,2006,4.076667
NOR,2007,4.774167
NOR,2008,4.458333
NOR,2009,3.998333
NOR,2010,3.528333
NOR,2011,3.135
NOR,2012,2.101667
NOR,2013,2.5775
NOR,2014,2.515
NOR,2015,1.565
NOR,2016,1.331667
NOR,2017,1.6375
NOR,2018,1.879167
NOR,2019,1.494167
NOR,2020,0.8175
NOR,2021,1.4025
NOR,2022,2.82
AUS,1970,6.646667
AUS,1971,6.713333
AUS,1972,5.831666
AUS,1973,6.933333
AUS,1974,9.036667
AUS,1975,9.741667
AUS,1976,10.03083
AUS,1977,10.22667
AUS,1978,9.06
AUS,1979,9.749166
AUS,1980,11.6475
AUS,1981,13.95833
AUS,1982,15.375
AUS,1983,13.8875
AUS,1984,13.525
AUS,1985,13.95417
AUS,1986,13.41667
AUS,1987,13.19167
AUS,1988,12.10417
AUS,1989,13.40833
AUS,1990,13.18
AUS,1991,10.69083
AUS,1992,9.22
AUS,1993,7.280833
AUS,1994,9.041667
AUS,1995,9.210896
AUS,1996,8.209207
AUS,1997,6.954918
AUS,1998,5.49297
AUS,1999,6.009312
AUS,2000,6.314569
AUS,2001,5.615264
AUS,2002,5.843958
AUS,2003,5.366776
AUS,2004,5.590775
AUS,2005,5.339973
AUS,2006,5.587872
AUS,2007,5.994521
AUS,2008,5.817944
AUS,2009,5.039512
AUS,2010,5.366042
AUS,2011,4.879583
AUS,2012,3.379167
AUS,2013,3.697292
AUS,2014,3.656667
AUS,2015,2.710833
AUS,2016,2.336667
AUS,2017,2.639167
AUS,2018,2.684167
AUS,2019,1.493333
AUS,2020,0.9208333
AUS,2021,1.47
AUS,2022,3.198333
ITA,1992,13.2663
ITA,1993,11.18735
ITA,1994,10.51929
ITA,1995,12.20637
ITA,1996,9.401236
ITA,1997,6.860859
ITA,1998,4.882307
ITA,1999,4.727752
ITA,2000,5.575179
ITA,2001,5.188787
ITA,2002,5.034556
ITA,2003,4.248191
ITA,2004,4.258675
ITA,2005,3.555428
ITA,2006,4.046302
ITA,2007,4.487259
ITA,2008,4.681259
ITA,2009,4.311213
ITA,2010,4.03587
ITA,2011,5.422752
ITA,2012,5.492676
ITA,2013,4.316386
ITA,2014,2.893183
ITA,2015,1.713968
ITA,2016,1.486547
ITA,2017,2.113012
ITA,2018,2.610345
ITA,2019,1.951412
ITA,2020,1.168292
ITA,2021,0.81083
ITA,2022,3.156633
SVK,2001,8.043349
SVK,2002,6.934373
SVK,2003,4.985866
SVK,2004,5.026144
SVK,2005,3.52158
SVK,2006,4.412181
SVK,2007,4.490726
SVK,2008,4.723183
SVK,2009,4.706512
SVK,2010,3.871647
SVK,2011,4.448205
SVK,2012,4.553231
SVK,2013,3.186377
SVK,2014,2.071702
SVK,2015,0.88525
SVK,2016,0.5444093
SVK,2017,0.9153607
SVK,2018,0.885511
SVK,2019,0.2463108
SVK,2020,-0.03828775
SVK,2021,-0.08023517
SVK,2022,2.074054
GRC,1998,8.481667
GRC,1999,6.308333
GRC,2000,6.108333
GRC,2001,5.304167
GRC,2002,5.1225
GRC,2003,4.2675
GRC,2004,4.255833
GRC,2005,3.585
GRC,2006,4.07
GRC,2007,4.5
GRC,2008,4.8025
GRC,2009,5.174167
GRC,2010,9.091666
GRC,2011,15.74917
GRC,2012,22.4975
GRC,2013,10.05417
GRC,2014,6.929167
GRC,2015,9.666364
GRC,2016,8.36
GRC,2017,5.978333
GRC,2018,4.185
GRC,2019,2.585833
GRC,2020,1.271667
GRC,2021,0.8841667
GRC,2022,3.486667
MEX,2002,10.125
MEX,2003,8.981667
MEX,2004,9.538333
MEX,2005,9.4175
MEX,2006,8.388333
CHL,2005,6.049167
CHL,2006,6.16
CHL,2007,6.0875
CHL,2008,7.10119
CHL,2009,5.665295
CHL,2010,6.252874
CHL,2011,5.969645
CHL,2012,5.42557
CHL,2013,5.308737
CHL,2014,4.736615
CHL,2015,4.480221
CHL,2016,4.405277
CHL,2017,4.244958
CHL,2018,4.497857
CHL,2019,3.577887
CHL,2020,2.798563
CHL,2021,4.36159
CHL,2022,6.260022
SVN,2003,6.401667
SVN,2004,4.683333
SVN,2005,3.806667
SVN,2006,3.853333
SVN,2007,4.53075
SVN,2008,4.606333
