,LOCATION,TIME,Value
0,AUS,1958,2.613002
1,AUS,1959,3.256618
2,AUS,1960,3.966841
3,AUS,1961,3.653984
4,AUS,1962,3.67826
5,AUS,1963,4.027682
6,AUS,1964,4.528525
7,AUS,1965,3.975944
8,AUS,1966,3.951213
9,AUS,1967,4.632608
10,AUS,1968,6.652974
11,AUS,1969,7.317072
12,AUS,1970,7.011195
13,AUS,1971,5.85566
14,AUS,1972,7.038809
15,AUS,1973,6.581208
16,AUS,1974,4.882499
17,AUS,1975,4.592401
18,AUS,1976,5.68406
19,AUS,1977,5.451769
20,AUS,1978,6.177924
21,AUS,1979,7.639335
22,AUS,1980,11.57022
23,AUS,1981,11.70298
24,AUS,1982,8.965257
25,AUS,1983,11.62757
26,AUS,1984,13.21127
27,AUS,1985,16.51881
28,AUS,1986,22.2822
29,AUS,1987,31.04002
30,AUS,1988,26.97814
31,AUS,1989,28.96189
32,AUS,1990,26.76051
33,AUS,1991,27.82293
34,AUS,1992,28.80249
35,AUS,1993,32.66813
36,AUS,1994,36.48568
37,AUS,1995,36.34457
38,AUS,1996,40.20248
39,AUS,1997,45.42818
40,AUS,1998,47.5461
41,AUS,1999,52.8114
42,AUS,2000,58.39363
43,AUS,2001,60.10427
44,AUS,2002,58.74319
45,AUS,2003,55.88747
46,AUS,2004,64.58517
47,AUS,2005,78.48778
48,AUS,2006,93.19911
49,AUS,2007,113.0436
50,AUS,2008,90.91695
51,AUS,2009,74.28973
52,AUS,2010,84.44438
53,AUS,2011,81.73172
54,AUS,2012,78.3949
55,AUS,2013,92.30541
56,AUS,2014,98.61095
57,AUS,2015,100.0
58,AUS,2016,96.06994
59,AUS,2017,105.6478
60,AUS,2018,109.2051
61,AUS,2019,117.3262
62,AUS,2020,111.1882
63,AUS,2021,130.4751
64,AUS,2022,128.3665
65,AUT,1957,5.341806
66,AUT,1958,4.904708
67,AUT,1959,6.468522
68,AUT,1960,8.825379
69,AUT,1961,14.14869
70,AUT,1962,14.72092
71,AUT,1963,12.13532
72,AUT,1964,11.54573
73,AUT,1965,11.04861
74,AUT,1966,10.50696
75,AUT,1967,9.933977
76,AUT,1968,10.51914
77,AUT,1969,10.54116
78,AUT,1970,11.76789
79,AUT,1971,11.95279
80,AUT,1972,12.99461
81,AUT,1973,15.40357
82,AUT,1974,14.56272
83,AUT,1975,14.48146
84,AUT,1976,14.69967
85,AUT,1977,13.80704
86,AUT,1978,12.91291
87,AUT,1979,13.01557
88,AUT,1980,13.5249
89,AUT,1981,12.12979
90,AUT,1982,10.77073
91,AUT,1983,11.57881
92,AUT,1984,11.95528
93,AUT,1985,21.969
94,AUT,1986,28.62971
95,AUT,1987,24.33186
96,AUT,1988,23.1332
97,AUT,1989,40.02851
98,AUT,1990,65.92688
99,AUT,1991,54.92773
100,AUT,1992,43.62307
101,AUT,1993,42.58729
102,AUT,1994,48.85884
103,AUT,1995,42.32459
104,AUT,1996,44.36375
105,AUT,1997,50.19534
106,AUT,1998,56.54815
107,AUT,1999,51.16523
108,AUT,2000,50.73743
109,AUT,2001,50.79045
110,AUT,2002,51.46922
111,AUT,2003,57.27275
112,AUT,2004,82.07992
113,AUT,2005,119.5495
114,AUT,2006,155.9491
115,AUT,2007,185.8775
116,AUT,2008,133.7203
117,AUT,2009,84.50336
118,AUT,2010,101.8649
119,AUT,2011,102.7466
120,AUT,2012,88.9893
121,AUT,2013,100.3004
122,AUT,2014,99.13908
123,AUT,2015,100.0
124,AUT,2016,96.95738
125,AUT,2017,129.7757
126,AUT,2018,139.4346
127,AUT,2019,130.051
128,AUT,2020,106.1938
129,AUT,2021,145.9151
130,AUT,2022,137.3584
131,BEL,1986,19.3133
132,BEL,1987,23.23323
133,BEL,1988,24.37525
134,BEL,1989,29.89999
135,BEL,1990,27.39399
136,BEL,1991,25.71037
137,BEL,1992,24.96568
138,BEL,1993,27.55048
139,BEL,1994,30.73903
140,BEL,1995,30.06425
141,BEL,1996,36.25267
142,BEL,1997,48.46305
143,BEL,1998,67.2181
144,BEL,1999,69.4644
145,BEL,2000,62.68607
146,BEL,2001,58.91181
147,BEL,2002,52.47446
148,BEL,2003,44.54462
149,BEL,2004,58.37309
150,BEL,2005,75.49103
151,BEL,2006,93.67766
152,BEL,2007,106.4254
153,BEL,2008,77.69125
154,BEL,2009,54.00409
155,BEL,2010,64.60868
156,BEL,2011,62.28817
157,BEL,2012,64.17024
158,BEL,2013,74.39355
159,BEL,2014,87.83824
160,BEL,2015,100.0
161,BEL,2016,95.23237
162,BEL,2017,101.5136
163,BEL,2018,96.55154
164,BEL,2019,92.68472
165,BEL,2020,77.87579
166,BEL,2021,91.67892
167,BEL,2022,93.04843
168,CAN,1956,3.958184
169,CAN,1957,3.710336
170,CAN,1958,3.453119
171,CAN,1959,3.920263
172,CAN,1960,3.583137
173,CAN,1961,4.506481
174,CAN,1962,4.359952
175,CAN,1963,4.698967
176,CAN,1964,5.555734
177,CAN,1965,6.137262
178,CAN,1966,5.82691
179,CAN,1967,6.175189
180,CAN,1968,6.495816
181,CAN,1969,7.230724
182,CAN,1970,6.351961
183,CAN,1971,6.74528
184,CAN,1972,7.933442
185,CAN,1973,8.484361
186,CAN,1974,7.089914
187,CAN,1975,6.975263
188,CAN,1976,7.219618
189,CAN,1977,7.043305
190,CAN,1978,8.08344
191,CAN,1979,10.99958
192,CAN,1980,14.82392
193,CAN,1981,15.05269
194,CAN,1982,11.43866
195,CAN,1983,16.50555
196,CAN,1984,16.32392
197,CAN,1985,18.91706
198,CAN,1986,20.9957
199,CAN,1987,24.88152
200,CAN,1988,23.03305
201,CAN,1989,26.51178
202,CAN,1990,23.859
203,CAN,1991,24.19612
204,CAN,1992,23.73175
205,CAN,1993,27.2278
206,CAN,1994,29.87682
207,CAN,1995,30.92162
208,CAN,1996,36.73879
209,CAN,1997,45.03913
210,CAN,1998,47.1248
211,CAN,1999,49.22987
212,CAN,2000,67.57355
213,CAN,2001,54.24498
214,CAN,2002,49.21868
215,CAN,2003,49.66291
216,CAN,2004,59.96645
217,CAN,2005,70.4531
218,CAN,2006,83.46551
219,CAN,2007,95.00292
220,CAN,2008,87.08011
221,CAN,2009,70.862
222,CAN,2010,84.18279
223,CAN,2011,90.44307
224,CAN,2012,84.37954
225,CAN,2013,88.90343
226,CAN,2014,102.0798
227,CAN,2015,100.0
228,CAN,2016,97.9147
229,CAN,2017,108.4319
230,CAN,2018,109.7048
231,CAN,2019,113.8164
232,CAN,2020,111.7975
233,CAN,2021,138.1638
234,CAN,2022,140.6862
235,CZE,1994,79.86185
236,CZE,1995,43.92026
237,CZE,1996,52.20804
238,CZE,1997,53.23566
239,CZE,1998,44.12077
240,CZE,1999,45.60789
241,CZE,2000,55.14369
242,CZE,2001,41.21687
243,CZE,2002,43.87506
244,CZE,2003,55.92059
245,CZE,2004,82.90836
246,CZE,2005,125.7354
247,CZE,2006,148.3337
248,CZE,2007,178.016
249,CZE,2008,136.2378
250,CZE,2009,96.47226
251,CZE,2010,117.4294
252,CZE,2011,111.4305
253,CZE,2012,95.20637
254,CZE,2013,97.61517
255,CZE,2014,99.1952
256,CZE,2015,100.0
257,CZE,2016,88.50847
258,CZE,2017,101.1606
259,CZE,2018,109.1298
260,CZE,2019,105.9594
261,CZE,2020,93.47337
262,CZE,2021,120.6906
