LOCATION,MEASURE,TIME,Value
AUS,MLN_USD,1965,5.608
AUS,MLN_USD,1966,5.996
AUS,MLN_USD,1967,6.631
AUS,MLN_USD,1968,7.405
AUS,MLN_USD,1969,8.488
AUS,MLN_USD,1970,9.566
AUS,MLN_USD,1971,11.308
AUS,MLN_USD,1972,13.825
AUS,MLN_USD,1973,19.44
AUS,MLN_USD,1974,24.135
AUS,MLN_USD,1975,26.81
AUS,MLN_USD,1976,28.61
AUS,MLN_USD,1977,30.087
AUS,MLN_USD,1978,32.92
AUS,MLN_USD,1979,38.163
AUS,MLN_USD,1980,45.664
AUS,MLN_USD,1981,49.939
AUS,MLN_USD,1982,48.495
AUS,MLN_USD,1983,49.526
AUS,MLN_USD,1984,50.616
AUS,MLN_USD,1985,49.348
AUS,MLN_USD,1986,55.751
AUS,MLN_USD,1987,68.479
AUS,MLN_USD,1988,81.716
AUS,MLN_USD,1989,88.85
AUS,MLN_USD,1990,90.808
AUS,MLN_USD,1991,85.14
AUS,MLN_USD,1992,81.737
AUS,MLN_USD,1993,87.196
AUS,MLN_USD,1994,100.081
AUS,MLN_USD,1995,113.636
AUS,MLN_USD,1996,122.373
AUS,MLN_USD,1997,114.669
AUS,MLN_USD,1998,116.182
AUS,MLN_USD,1999,120.471
AUS,MLN_USD,2000,117.291
AUS,MLN_USD,2001,115.542
AUS,MLN_USD,2002,141.117
AUS,MLN_USD,2003,177.636
AUS,MLN_USD,2004,208.621
AUS,MLN_USD,2005,225.719
AUS,MLN_USD,2006,252.625
AUS,MLN_USD,2007,289.86
AUS,MLN_USD,2008,271.886
AUS,MLN_USD,2009,279.257
AUS,MLN_USD,2010,346.463
AUS,MLN_USD,2011,399.797
AUS,MLN_USD,2012,411.598
AUS,MLN_USD,2013,401.892
AUS,MLN_USD,2014,361.522
AUS,MLN_USD,2015,344.314
AUS,MLN_USD,2016,365.268
AUS,MLN_USD,2017,397.957
AUS,MLN_USD,2018,401.214
AUS,MLN_USD,2019,379.582
AUS,MLN_USD,2020,424.22
AUT,MLN_USD,1979,37.487
AUT,MLN_USD,1980,41.355
AUT,MLN_USD,1981,36.29
AUT,MLN_USD,1982,33.143
AUT,MLN_USD,1983,31.899
AUT,MLN_USD,1984,30.923
AUT,MLN_USD,1985,31.914
AUT,MLN_USD,1986,43.499
AUT,MLN_USD,1987,52.555
AUT,MLN_USD,1988,56.497
AUT,MLN_USD,1989,54.879
AUT,MLN_USD,1990,68.606
AUT,MLN_USD,1991,72.452
AUT,MLN_USD,1992,83.239
AUT,MLN_USD,1993,78.586
AUT,MLN_USD,1994,83.57
AUT,MLN_USD,1995,95.285
AUT,MLN_USD,1996,98.804
AUT,MLN_USD,1997,92.91
AUT,MLN_USD,1998,95.407
AUT,MLN_USD,1999,93.59
AUT,MLN_USD,2000,83.241
AUT,MLN_USD,2001,86.671
AUT,MLN_USD,2002,91.238
AUT,MLN_USD,2003,111.087
AUT,MLN_USD,2004,126.337
AUT,MLN_USD,2005,129.503
AUT,MLN_USD,2006,135.839
AUT,MLN_USD,2007,157.63
AUT,MLN_USD,2008,177.77
AUT,MLN_USD,2009,163.992
AUT,MLN_USD,2010,160.51
AUT,MLN_USD,2011,177.319
AUT,MLN_USD,2012,171.067
AUT,MLN_USD,2013,183.326
AUT,MLN_USD,2014,188.738
AUT,MLN_USD,2015,164.7
AUT,MLN_USD,2016,165.116
AUT,MLN_USD,2017,174.337
AUT,MLN_USD,2018,192.157
AUT,MLN_USD,2019,189.456
AUT,MLN_USD,2020,182.549
AUT,MLN_USD,2021,207.188
BEL,MLN_USD,1979,49.102
BEL,MLN_USD,1980,52.031
BEL,MLN_USD,1981,43.989
BEL,MLN_USD,1982,42.979
BEL,MLN_USD,1983,42.154
BEL,MLN_USD,1984,40.963
BEL,MLN_USD,1985,41.99
BEL,MLN_USD,1986,56.687
BEL,MLN_USD,1987,70.282
BEL,MLN_USD,1988,74.777
BEL,MLN_USD,1989,72.338
BEL,MLN_USD,1990,89.387
BEL,MLN_USD,1991,91.649
BEL,MLN_USD,1992,99.732
BEL,MLN_USD,1993,96.242
BEL,MLN_USD,1994,103.383
BEL,MLN_USD,1995,117.872
BEL,MLN_USD,1996,117.92
BEL,MLN_USD,1997,111.27
BEL,MLN_USD,1998,115.611
BEL,MLN_USD,1999,114.212
BEL,MLN_USD,2000,103.603
BEL,MLN_USD,2001,103.429
BEL,MLN_USD,2002,113.088
BEL,MLN_USD,2003,137.695
BEL,MLN_USD,2004,160.315
BEL,MLN_USD,2005,167.065
BEL,MLN_USD,2006,176.383
BEL,MLN_USD,2007,201.894
BEL,MLN_USD,2008,224.183
BEL,MLN_USD,2009,205.528
BEL,MLN_USD,2010,206.24
BEL,MLN_USD,2011,227.454
BEL,MLN_USD,2012,220.042
BEL,MLN_USD,2013,234.87
BEL,MLN_USD,2014,239.28
BEL,MLN_USD,2015,203.924
BEL,MLN_USD,2016,205.882
BEL,MLN_USD,2017,219.722
BEL,MLN_USD,2018,237.941
BEL,MLN_USD,2019,227.033
BEL,MLN_USD,2020,221.165
BEL,MLN_USD,2021,252.019
CAN,MLN_USD,1965,14.21
CAN,MLN_USD,1966,16.409
CAN,MLN_USD,1967,18.324
CAN,MLN_USD,1968,20.745
CAN,MLN_USD,1969,24.723
CAN,MLN_USD,1970,27.214
CAN,MLN_USD,1971,30.621
CAN,MLN_USD,1972,35.41
CAN,MLN_USD,1973,41.243
CAN,MLN_USD,1974,52.682
CAN,MLN_USD,1975,57.103
CAN,MLN_USD,1976,64.489
CAN,MLN_USD,1977,64.088
