"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1970",12.639948479144,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1971",12.8041662925384,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1972",14.1305875032617,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1973",13.1291209701468,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1974",14.2584484113619,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1975",13.5010618003815,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1976",14.0004573614403,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1977",13.6067695939386,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1978",14.288721779185,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1979",16.4124774349793,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1980",14.8874026135983,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1981",13.519015558184,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1982",13.5732009925558,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1983",13.5574025196084,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1984",15.2225977952542,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1985",14.9730508851423,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1986",15.4577900081717,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1987",15.9534152879194,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1988",15.1175735853155,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1989",15.1146011445289,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1990",16.0280733856599,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1991",16.6578862195805,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1992",17.539365425957,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1993",17.9719729716408,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1994",17.8718949924568,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1995",18.8916071752677,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1996",19.1287538535611,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1997",19.5582295237772,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1998",18.3070802783446,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1999",19.4052796907092,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2000",22.1681831556551,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2001",20.7379562294817,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2002",19.0670417369508,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2003",17.1717885180982,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2004",18.2345398442686,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2005",19.8670743134475,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2006",20.1972095519184,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2007",20.1570110070534,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2008",23.0136347671101,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2009",19.7992817578298,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2010",21.4374194076014,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2011",21.4993440769616,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2012",19.9857077588126,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2013",21.0963738828485,
