Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,-7318435.754,-14413407.82,-17039106.15,-11284916.2,-7765363.128,-7765363.128,-9664804.469,-17877094.97,-20000000,-15195530.73,-17821229.05,-23184357.54,-5586592.179,-42681564.25,-24022346.37,-57262569.83,-135698324,-53296089.39,-74301675.98,-478938547.5,-105865921.8,-384636871.5,-116648044.7,-88770949.72,-140223463.7,-246033519.6,-116089385.5,-164357541.9,-102737430.2,-124748603.4,-135251396.6,-170558659.2,-214748603.4,-153296089.4,-68100558.66,-92849162.01
Africa Eastern and Southern,AFE,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,11111037.78,11111128.89,11111128.89,15555515.56,15555515.56,20000000,28888888.89,35555555.56,28888888.89,28888888.89,35557777.78,37777777.78,35553333.33,37775555.56,46666666.67,51111111.11,55555555.56,64444444.44,71111111.11,77803203.66,74829931.97,72727272.73,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-34659503.23,27538891.86,-19834366.84,31813349.59,71748547.7,-2378156.251,180789111.7,179568045.8,248665001.4,191409050.5,300524701.9,188941973.9,124061713.5
Africa Western and Central,AFW,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-1.70966E+11,-16011142395,-481074465.1,-767257294.9,-1696768952,-917755953.2,-968767354.9,-1372030007,-1680860003,-1560987288,-1634656383,-1726480989,-2483589175,-4030851230,-6177849471,-7599046854,-13717492403,-6823163698,-7884215267,-9493159291,-10173167880,-9660444450,-8335642411,-4434425214,-2599234393,-4239217591,-6009501538,-6266159210,-4512744372,-5323939868
Albania,ALB,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,3200000.028,1400000.012,100000,400000,200000,-100000,-1900000,-21700000,-35100000.67,33900000.49,13800004.86,43600000,71682285.65,50333128.83,76522625.03,75268211.44,104651963.8,125993317.6,109118141.8,150569936.1,169288871.4,162031254.5,262219148.4,297972086,65020513.84,-191468664.9,-119157140.8,3339484.894,-91764971.23,220318787.3,121272184.3,134958245.2,192633143.4,31791351.81,-18439158.73,-201581599.8,-250229603.3,-249598404.2
Andorra,AND,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307198029.8,,
Arab World,ARB,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5091899251,5064669843,921170864.5,-54458815.52,707964601.8,2886317223,4737916950,8373042886,3803948264,2614111641,-83866575.9,135330156.6,299523485.4,462899931.9,658951667.8,1742682097,2096664398,2777399592,1424098026,2069434990,-462899931.9,
Argentina,ARG,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,632802749.3,472828283.3,662611831.5,733528054.8,1165716400,87575485.62,-392285420.7,-219712940.7,-1187892369,341401095.4,-533500315.9,178220536.8,243112774.2,709461515.9,15502930.14,-441796877.7,-366396040.5,-626163812.5,-675349739.1,-1834734840,-5063657544,-5906932543,-4095200103,-4744166787,-5012222146,-5163333374,-5490909048,-6417435494,-6202341665,-5862619612,-4258037149,-2998052152,-3696736900,-4668859300,-5502049300,-6217795600,-7406048600,-7463719900,-7547781100,-7726781900,-4960215219,-5135021620,-18296342136,-22583727006,-7659784206,-7536296705,-8942556247,-10232156785,-14434953220,-15153730542,-12908767215,-11839391691,-10787432519,-11133833327,-12280658732,-16427936291,-18725841968,-17587888622,-10004439556,-9815444430
