"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","AGRWTH","A","1960",5.675337,
"AUS","GFCF","TOT","AGRWTH","A","1961",1.774823,
"AUS","GFCF","TOT","AGRWTH","A","1962",6.253368,
"AUS","GFCF","TOT","AGRWTH","A","1963",9.366632,
"AUS","GFCF","TOT","AGRWTH","A","1964",7.482981,
"AUS","GFCF","TOT","AGRWTH","A","1965",8.133856,
"AUS","GFCF","TOT","AGRWTH","A","1966",5.09608,
"AUS","GFCF","TOT","AGRWTH","A","1967",7.374448,
"AUS","GFCF","TOT","AGRWTH","A","1968",6.391344,
"AUS","GFCF","TOT","AGRWTH","A","1969",3.279538,
"AUS","GFCF","TOT","AGRWTH","A","1970",3.221737,
"AUS","GFCF","TOT","AGRWTH","A","1971",2.806943,
"AUS","GFCF","TOT","AGRWTH","A","1972",3.059009,
"AUS","GFCF","TOT","AGRWTH","A","1973",4.267539,
"AUS","GFCF","TOT","AGRWTH","A","1974",-6.410213,
"AUS","GFCF","TOT","AGRWTH","A","1975",3.434884,
"AUS","GFCF","TOT","AGRWTH","A","1976",3.889835,
"AUS","GFCF","TOT","AGRWTH","A","1977",3.835103,
"AUS","GFCF","TOT","AGRWTH","A","1978",9.775712,
"AUS","GFCF","TOT","AGRWTH","A","1979",2.873207,
"AUS","GFCF","TOT","AGRWTH","A","1980",12.788461,
"AUS","GFCF","TOT","AGRWTH","A","1981",7.250632,
"AUS","GFCF","TOT","AGRWTH","A","1982",-9.469703,
"AUS","GFCF","TOT","AGRWTH","A","1983",5.080672,
"AUS","GFCF","TOT","AGRWTH","A","1984",9.609322,
"AUS","GFCF","TOT","AGRWTH","A","1985",5.931097,
"AUS","GFCF","TOT","AGRWTH","A","1986",0.386114,
"AUS","GFCF","TOT","AGRWTH","A","1987",7.48992,
"AUS","GFCF","TOT","AGRWTH","A","1988",10.722228,
"AUS","GFCF","TOT","AGRWTH","A","1989",0.906573,
"AUS","GFCF","TOT","AGRWTH","A","1990",-9.480433,
"AUS","GFCF","TOT","AGRWTH","A","1991",-3.997007,
"AUS","GFCF","TOT","AGRWTH","A","1992",6.635214,
"AUS","GFCF","TOT","AGRWTH","A","1993",5.792734,
"AUS","GFCF","TOT","AGRWTH","A","1994",11.02565,
"AUS","GFCF","TOT","AGRWTH","A","1995",2.737213,
"AUS","GFCF","TOT","AGRWTH","A","1996",6.637866,
"AUS","GFCF","TOT","AGRWTH","A","1997",9.74313,
"AUS","GFCF","TOT","AGRWTH","A","1998",4.439288,
"AUS","GFCF","TOT","AGRWTH","A","1999",8.09382,
"AUS","GFCF","TOT","AGRWTH","A","2000",-7.943064,
"AUS","GFCF","TOT","AGRWTH","A","2001",9.124312,
"AUS","GFCF","TOT","AGRWTH","A","2002",12.566512,
"AUS","GFCF","TOT","AGRWTH","A","2003",8.735426,
"AUS","GFCF","TOT","AGRWTH","A","2004",6.093931,
"AUS","GFCF","TOT","AGRWTH","A","2005",8.273623,
"AUS","GFCF","TOT","AGRWTH","A","2006",4.519348,
"AUS","GFCF","TOT","AGRWTH","A","2007",8.762022,
"AUS","GFCF","TOT","AGRWTH","A","2008",1.524257,
"AUS","GFCF","TOT","AGRWTH","A","2009",1.747858,
"AUS","GFCF","TOT","AGRWTH","A","2010",3.599835,
"AUS","GFCF","TOT","AGRWTH","A","2011",11.602551,
"AUS","GFCF","TOT","AGRWTH","A","2012",2.891395,
"AUS","GFCF","TOT","AGRWTH","A","2013",-1.888989,
"AUS","GFCF","TOT","AGRWTH","A","2014",-3.692192,
"AUS","GFCF","TOT","AGRWTH","A","2015",-3.64282,
"AUS","GFCF","TOT","AGRWTH","A","2016",-0.03918,
"AUS","GFCF","TOT","AGRWTH","A","2017",4.84052,
"AUS","GFCF","TOT","AGRWTH","A","2018",-1.253383,
"AUS","GFCF","TOT","AGRWTH","A","2019",-2.638969,
"AUS","GFCF","TOT","AGRWTH","A","2020",3.782876,
"AUS","GFCF","TOT","AGRWTH","A","2021",6.139359,
"AUS","GFCF","TOT","MLN_USD","A","1960",7594.023,
"AUS","GFCF","TOT","MLN_USD","A","1961",7555.709,
"AUS","GFCF","TOT","MLN_USD","A","1962",8263.204,
"AUS","GFCF","TOT","MLN_USD","A","1963",9144.787,
"AUS","GFCF","TOT","MLN_USD","A","1964",10182.874,
"AUS","GFCF","TOT","MLN_USD","A","1965",11145.34,
"AUS","GFCF","TOT","MLN_USD","A","1966",12051.79,
